vjdbv1.0_field_id	vjdbv1.0_name	vjdbv1.0_description	vjdbv1.0_fields_type	vjdbv1.0_tags	vjdbv1.0_input_source	vjdbv1.0_notes	vjdbv1.0_changes	vjdb_example	ictv40_i_field_name
checkv_quality	CheckV Quality	"Quality tier of the virus genome as noted by CheckV v1.0.1 against the default CheckV database v1.5. For more information about CheckV please see the tool page at: https://bitbucket.org/berkeleylab/checkv/src/master 
Possible values:
Complete
High-quality (>90% completeness)
Medium-quality (50-90% completeness)
Low-quality (<50% completeness)
Undetermined quality"	keyword	['Analysis', 'Workflows']	VJDB	N/A	N/A	N/A	N/A
checkv_miuvig_quality	CheckV MIUVIG Quality	MIUVIG quality as noted by CheckV v1.0.1 against the default CheckV database v1.5. For more information about CheckV please see the tool page at: https://bitbucket.org/berkeleylab/checkv/src/master	keyword	['Analysis', 'Workflows']	VJDB	N/A	N/A	N/A	N/A
checkv_completeness	CheckV Completeness	Completeness of the virus genome sequenceas calculated by CheckV v1.0.1 against the default CheckV database v1.5. For more information about CheckV please see the tool page at: https://bitbucket.org/berkeleylab/checkv/src/master	keyword	['Analysis', 'Workflows']	VJDB	N/A	N/A	N/A	N/A
checkv_completeness_method	CheckV Completeness Method	Method of determining the completeness of the virus genome sequence as calculated by CheckV v1.0.1 against the default CheckV database v1.5. For more information about CheckV please see the tool page at: https://bitbucket.org/berkeleylab/checkv/src/master	text	['Analysis', 'Workflows']	VJDB	N/A	N/A	N/A	N/A
checkv_contamination	CheckV Contamination	Amount of virus genome sequence contamination as calculated by CheckV v1.0.1 against the default CheckV database v1.5. For more information about CheckV please see the tool page at: https://bitbucket.org/berkeleylab/checkv/src/master	keyword	['Analysis', 'Workflows']	VJDB	N/A	N/A	N/A	N/A
checkv_kmer_freq	CheckV Kmer Freq	Number of times the virus genome was found in the as calculated by CheckV v1.0.1 against the default CheckV database v1.5. For more information about CheckV please see the tool page at: https://bitbucket.org/berkeleylab/checkv/src/master	keyword	['Analysis', 'Workflows']	VJDB	N/A	N/A	N/A	N/A
checkv_warnings	CheckV Warnings	Warnings generated by running CheckV v1.0.1 against the default CheckV database v1.5. For more information about CheckV please see the tool page at: https://bitbucket.org/berkeleylab/checkv/src/master	keyword	['Analysis', 'Workflows']	VJDB	N/A	N/A	N/A	N/A
length_coverage	Length Coverage	Percentage of Ns within the whole sequence from BVBRC.	float	['MIGS-VI', 'Internal', 'Sequence']	no source	not sure	remove; change the name and id: sequence_perc_N	N/A	N/A
number_of_contigs	Number of Contigs	Number of contigs in the sequence.	integer	['MIGS-VI', 'Internal', 'Sequence']	no source	N/A	remove	1;13	N/A
sequence_version	Sequence Version	Version of the sequence (whole entry).	keyword	['RKI', 'Internal', 'Sequence']	no source	not sure	remove	N/A	N/A
sequencing_reason	Sequencing Reason	Why was the collected sample sequenced?	keyword	['ENA', 'RKI', 'Internal', 'Workflows']	no source	not sure	remove	N/A	N/A
assembly_level	Assembly Level	The level of the Assembly (contig, scaffold, chromosome, complete genome).	keyword	['ENA', 'Internal', 'ENA Analysis', 'VJDB Analysis', 'Workflows']	N/A	apply customization to vjdb , e.g. chromosome to genome or something; input not yet defined	keep internally	N/A	N/A
min_gap_length	Min Gap Length	Minimum length of consecutive Ns to be considered a gap.	integer	['ENA', 'Internal', 'ENA Analysis', 'VJDB Analysis', 'Workflows']	N/A	not sure	keep internally	N/A	N/A
assembly_program	Assembly Program	The program used for genome assembly.	keyword	['ENA', 'MIGS-VI', 'BV-BRC', 'Internal', 'ENA Analysis', 'VJDB Analysis', 'Workflows']	BVBRC	N/A	keep internally	N/A	N/A
assembly_type	Assembly Type	Identifier on how to treat the submitted assembly. Currently only assemblies from ‘clone or isolate’ are permitted.	keyword	['ENA', 'Internal', 'ENA Analysis', 'VJDB Analysis', 'Workflows']	N/A	"for submission this is always ""clone or isolate""; "	keep internally	clone or isolate	N/A
lab_host_common_name	Lab Host Common Name	BVBRC Lab Host, common name of the lab host.	text	['BV-BRC', 'Host', 'Host Info']	BVBRC	"remove? Lab Passage 1 to 1 in public and rest in private for submission, because Lab Passaged is buil on ""/labhost"", to catch this we provide these fields; not sure"	host_lab_common_name	N/A	N/A
lab_host_ncbi_tax_id	Lab Host NCBI Tax ID	The NCBI Taxonomy ID of the lab host.	keyword	['MIGS-VI', 'Host', 'Identifiers']	N/A	remove?; not sure	keep internally	N/A	N/A
lab_host_species	Lab Host Species	The scientific species name of the lab host.	text	['ENA', 'MIGS-VI', 'Host', 'Host Info']	N/A	remove?; not sure	keep internally	N/A	N/A
file_format	File Format	The run data file model.	keyword	['ENA ERC32', 'ENA ERC33', 'Internal', 'ENA Run', 'VJDB Run', 'Workflows']	N/A	no example needed	N/A	N/A	N/A
file_name	File Name	The name or relative pathname of a run data file.	text	['ENA ERC32', 'ENA ERC33', 'Internal', 'ENA Run', 'VJDB Run', 'Workflows']	N/A	no example needed	N/A	N/A	N/A
host_age	Host Age	Host age given by a number. Is connected to Host Age Unit. The number should match the unit. E.g. 2 years	integer	['Internal', 'Clinical ']	no source	N/A	N/A	37	N/A
host_age_unit	Host Age Unit	Unit that describes the host age. Is connected to Host Age. Should fit the number, e.g. 2 years	keyword	['Host', 'Clinical']	no source	These two private for submission, one field for public where it is combined and one for normalized values (also for filtering); 	remove	days; years	N/A
analysis_title	Analysis Title	Clear and useful title to identify the analysis of your sequencing experiment. This title will not be submitted to the ENA on submission.	text	['Internal', 'VJDB Analysis', 'Workflows']	N/A	no example needed	N/A	N/A	N/A
insdc_accession	INSDC Accession	GenBank Accession of the virus sequence. It equals NCBI Accession, ENA Accession, and DDBJ Accession, which are part of the INSDC.	keyword	['NCBI Virus', 'BV-BRC', 'PHD', 'Organizational', 'Identifiers']	NCBI Virus|BVBRC	no example needed	N/A	N/A	N/A
assembly_accession	Assembly Accession	NCBI Assembly Accession of the virus sequence.	keyword	['NCBI Virus', 'BV-BRC', 'PHD', 'Organizational', 'ENA Analysis', 'VJDB Analysis', 'Identifiers']	NCBI Virus|BVBRC	no example needed	N/A	N/A	N/A
bioproject_accession	Bioproject Accession	References the BioProject Accession that the virus sequence is a part of (INSDC). 	keyword	['ENA', 'NCBI Virus', 'BV-BRC', 'Organizational', 'ENA Study', 'Identifiers']	NCBI Virus|BVBRC	no example needed	N/A	N/A	N/A
biosample_accession	Biosample Accession	References the BioSample Accession that the virus sequence is a part of (INSDC).	keyword	['ENA', 'MIGS-VI', 'NCBI Virus', 'BV-BRC', 'Organizational', 'ENA Sample', 'VJDB Sample', 'Identifiers']	NCBI Virus|BVBRC	no example needed	N/A	N/A	N/A
collection_date	Collection Date	Date when the sample the virus sequence originates from was collected or sampled.	date	['ENA', 'RKI', 'MIGS-VI', 'NCBI Virus', 'BV-BRC', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Collection']	NCBI Virus|BVBRC	"would be ""Date"" but to make distinction as there are multiple dates; "	N/A	2023-05-28	N/A
country	Country	Country or sea area where the sample the virus sequence originates from was collected or sampled.	text	['ENA', 'MIGS-VI', 'NCBI Virus', 'BV-BRC', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Collection']	NCBI Virus|BVBRC	N/A	N/A	Germany	N/A
genbank_sequence	GenBank Sequence	Determines if this virus sequence is available in Genbank.	boolean	['NCBI Virus', 'Source', 'Flags']	NCBI Virus	N/A	N/A	true	N/A
refseq_sequence	RefSeq Sequence	Determines if this virus sequence is a reference sequence in the RefSeq database.	boolean	['NCBI Virus', 'BV-BRC', 'Source', 'Flags']	NCBI Virus|BVBRC	N/A	N/A	true	N/A
collection_geo_location	Collection Geo Location	Country name and additional identifier like a state abbreviation from where the sample the sequence originates from was collected/sampled.	text	['NCBI Virus', 'BV-BRC', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Collection']	NCBI Virus|BVBRC	shown until further revised; 	N/A	USA: NY 	N/A
host_common_name	Host Common Name	Common name of the host the virus sequence was collected from, e.g. human. Currently (v1.0) no ontology is applied.	text	['ENA', 'NCBI Virus', 'BV-BRC', 'ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Host Taxonomy']	NCBI Virus|BVBRC	N/A	N/A	human	N/A
sequence_length	Sequence Length	Length of the virus sequence in basepairs (bp).	integer	['NCBI Virus', 'BV-BRC', 'IMG/VR', 'PHD', 'PhiSpy', 'Sample', 'Sequence', 'Workflows']	NCBI Virus|BVBRC	Is sequence in the name needed? Length to generic -> Sequence Length (consideration for other data layers); 	N/A	10201	N/A
molecule_type	Molecule Type	Molecule type of the sequence, e.g. ssRNA. Note that there are 15 molecule types corresponding to combinations of the Baltimore Classifications, from NCBI GenBank.	keyword	['ENA', 'NCBI Virus', 'Sample', 'Virus Info']	NCBI Virus	Should be curated into Baltimore classes; Is this a sequence attribute or sample or both? Represent in naming?; 	N/A	ssRNA(+)	N/A
genome_completeness	Genome Completeness	Wether the sequence is a partial or complete sequence in NCBI GenBank.	keyword	['NCBI Virus', 'Sample', 'Sequence', 'Workflows']	NCBI Virus	N/A	N/A	partial; complete	N/A
organism_name	Organism Name	NCBI GenBank organism name: a taxonomic name at species level or below the species level.	text	['NCBI Virus', 'PHD', 'Sample', 'Virus Info']	NCBI Virus	technically sample species or below, take as it is until curation; 	sample_organism_name	Influenza A virus (A/goose/Guangdong/1/1996(H5N1))	N/A
submitter_organization	Submitter Organization	Organization the submitter(s) is(are) affiliated with.	text	['NCBI Virus', 'Organizational', 'VJDB Study', 'Submission']	NCBI Virus	N/A	N/A	National Center for Biotechnology Information, NIH	N/A
release_date	Release Date	Date when the sequence was made public in a repository (e.g. GenBank, BV-BRC).	date	['RKI', 'NCBI Virus', 'Organizational', 'Sequence']	NCBI Virus	N/A	update definition (genbank, bvbrc)	2023-05-20	N/A
segment_name	Segment Name	Name of the virus segment. Can be a number.	text	['NCBI Virus', 'Sample', 'Sequence']	NCBI Virus	N/A	N/A	spike; 1; whole genome	N/A
sra_accession	SRA Accession	NCBI Sequence Read Archive (SRA) Accession.	keyword	['NCBI Virus', 'BV-BRC', 'Organizational', 'Identifiers']	NCBI Virus|BVBRC	no example needed	N/A	N/A	N/A
submitter	Submitter	Name(s) of the submitter(s) of the virus sequence.	text	['NCBI Virus', 'Organizational', 'VJDB Study', 'Submission']	NCBI Virus	N/A	N/A	Zuckerman,N., Mandelboim,M.	N/A
collection_source_host_tissue	Collection Source Host Tissue	Tissue, Specimen or Source of the superhost from which the sample the virus sequence originates from was collected or sampled.	text	['ENA', 'RKI', 'MIGS-VI', 'NCBI Virus', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Collection']	NCBI Virus	Plan about sources and vocabularies, RKI different from ENA, what about NCBI and environmental, leave it like that for now with NCBi input; 	collection_source_host_associated	brain; water; venom gland	N/A
bv_brc_accession	BV-BRC Accession	Accession of the sequence in the BV-BRC database.	keyword	['BV-BRC', 'Organizational', 'Identifiers']	BVBRC	no example needed	Change id and name to BVBRC_genome_id	N/A	N/A
bv_brc_host_group	BV-BRC Host Group	The host's broader group association in a taxonomic context from BV-BRC.	text	['BV-BRC', 'Host', 'Host Info']	BVBRC	N/A	N/A	vertebrates; plants	N/A
host_species	Host Species	The scientific species name of the sampled host.	text	['ENA', 'MIGS-VI', 'BV-BRC', 'ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Host Info']	BVBRC	N/A	N/A	homo sapiens	N/A
host_ncbi_tax_id	Host NCBI Tax ID	The host sequence NCBI Taxonomy ID. Can be based on the mapping by GTDB of the GTDB Species Name to the NCBI Taxonomy ID.	keyword	['MIGS-VI', 'IMG/VR', 'PHD', 'PhiSpy', 'Host', 'ENA Sample', 'VJDB Sample', 'Host Taxonomy', 'NCBI Taxonomy']	GTDB	N/A	keep internally	9606	N/A
bvbrc_host_sex	BVBRC Host Sex	Sex of the sampled host from the BV-BRC.	text	['ENA', 'BV-BRC', 'ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical']	BVBRC	N/A	N/A	female; hermaphrodite	N/A
bv_brc_sequence	BV-BRC Sequence	Flag indicating if this virus sequence is available in BV-BRC.	boolean	['Source', 'Flags']	VJDB	N/A	add is_bvbrc	true	N/A
pangolin_lineage	Pangolin Lineage	Lineage determined by Pangolin.	keyword	['RKI', 'BV-BRC', 'Analysis', 'Sequence']	NCBI Virus|BVBRC	depends on how to treat RKI data, they have pangolin leange in json format that includes version and also method information, we could either include that (bad readabiliy, or splt the relevant information for these fields)	N/A	N/A	N/A
ncbi_speciestax_id	NCBI SpeciesTax ID	The virus species NCBI Taxonomy ID.	keyword	['ENA', 'MIGS-VI', 'BV-BRC', 'ENA ERC32', 'ENA ERC33', 'IMG/VR', 'PHD', 'PhiSpy', 'GTDB', 'Taxonomy', 'ENA Sample', 'VJDB Sample', 'Identifiers', 'NCBI Taxonomy']	BVBRC	Taxonomy Descision; 	N/A	197911	N/A
average_depth	Average Depth	Average sequencing depth across the sequence from BVBRC.	float	['ENA', 'BV-BRC', 'Analysis', 'Sequence', 'Workflows']	BVBRC	N/A	N/A	12.0x	N/A
gc_content	GC Content	Percentage of G and C nucleotides in the sequence from BVBRC.	float	['BV-BRC', 'Analysis', 'Sequence', 'Workflows']	BVBRC	N/A	N/A	37.355248	N/A
sequencing_center	Sequencing Center	Institution that sequenced the collected sample.	keyword	['BV-BRC', 'Organizational', 'Sequence', 'Workflows']	BVBRC	N/A	N/A	US Food and Drug Administration	N/A
platform	Platform	Instrument platform used for sequencing the virus; multiple values are seperated by a semicolon (only for assemblies).	text	['ENA', 'RKI', 'BV-BRC', 'ENA ERC32', 'ENA ERC33', 'Analysis', 'ENA Experiment', 'VJDB Experiment', 'Sequence', 'Workflows']	BVBRC	N/A	N/A	CAPILLARY	N/A
sequence_source	Sequence Source	The name of the source database or tool by which the virus sequence was added in VirJenDB; in the case of PhiSpy-predicted prophages, the value is PhiSpy.	keyword	['Organizational', 'Source']	VJDB	not sure	change id and name to source_metadata_db, update definition	N/A	N/A
submitter_country	Submitter Country	Country of the submitter's organization.	text	['NCBI Virus', 'Sample', 'VJDB Study', 'Submission']	NCBI Virus	N/A	N/A	Germany	N/A
submitter_region	Submitter Region	Region or location of the organization of the submitters.	text	['Sample', 'Submission']	NCBI Virus	not sure	split organization to submitter_region	N/A	N/A
virjendb_accession	VirJenDB Accession	Unique identifier of the virus sequence, assigned by VirJenDB.	keyword	['Organizational', 'Source', 'Identifiers']	VJDB	N/A	N/A	10580360	N/A
virjendb_metadata_version	VirJenDB Metadata Version	Version of the virus sequence record, including metadata, assigned by VirJenDB.	keyword	['Organizational', 'Source']	VJDB	N/A	N/A	N/A	N/A
strain	Strain	Name of the virus strain associated with the sample from which the virus sequence was obtained.	text	['BV-BRC', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Virus Info']	BVBRC	not sure	N/A	N/A	N/A
ictv_realm	ICTV Realm	A 'Realm' is the highest taxonomic rank into which a virus sequence can be classified. Defined by the ICTV.	text	['IMG/VR', 'PHD', 'PhiSpy', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']	ICTV	no example needed	N/A	N/A	Realm
ictv_kingdom	ICTV Kingdom	A 'Kingdom' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the ICTV.	text	['IMG/VR', 'PHD', 'PhiSpy', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']	ICTV	no example needed	N/A	N/A	Kingdom
ictv_phylum	ICTV Phylum	A 'Phylum' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the ICTV.	text	['IMG/VR', 'PHD', 'PhiSpy', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']	ICTV	no example needed	N/A	N/A	Phylum
ictv_subphylum	ICTV Subphylum	A 'Subphylum' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the ICTV.	text	['PHD', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']	ICTV	no example needed	N/A	N/A	Subphylum
ictv_class	ICTV Class	A 'Class' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the ICTV.	text	['IMG/VR', 'PHD', 'PhiSpy', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']	ICTV	no example needed	N/A	N/A	Class
ictv_order	ICTV Order	A 'Order' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the ICTV.	text	['IMG/VR', 'PHD', 'PhiSpy', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']	ICTV	no example needed	N/A	N/A	Order
ictv_suborder	ICTV Suborder	A 'suborder' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the ICTV.	text	['PHD', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']	ICTV	no example needed	N/A	N/A	Suborder
ictv_family	ICTV Family	A 'Family' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the ICTV.	text	['IMG/VR', 'PHD', 'PhiSpy', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']	ICTV	no example needed	N/A	N/A	Family
ictv_subfamily	ICTV Subfamily	A 'Subfamily' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the ICTV.	text	['PHD', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']	ICTV	no example needed	N/A	N/A	Subfamily
ictv_genus	ICTV Genus	A 'Genus' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the ICTV.	text	['IMG/VR', 'PHD', 'PhiSpy', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']	ICTV	no example needed	N/A	N/A	Genus
ictv_subgenus	ICTV Subgenus	A 'Subgenus' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the ICTV.	text	['PHD', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']	ICTV	no example needed	N/A	N/A	Subgenus
ictv_species	ICTV Species	A Species is the lowest taxonomic rank in the hierarchy approved by the ICTV. While subspecies levels of classification may exist for some viruses (e.g. Hepatitis C virus), the ICTV does not classify viruses below the species level. Defined by the ICTV.	text	['IMG/VR', 'PHD', 'PhiSpy', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']	ICTV	Taxonomy Descision; no example needed	tbd	N/A	Species
ncbi_realm	NCBI Realm	A 'Realm' is the highest taxonomic rank into which virus species can be classified. Defined by the NCBI.	text	['PHD', 'Sample', 'Virus Taxonomy', 'NCBI Taxonomy']	NCBI Taxonomy	no example needed	N/A	N/A	N/A
ncbi_kingdom	NCBI Kingdom	A 'Kingdom' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the NCBI.	text	['BV-BRC', 'PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']	BVBRC	no example needed	N/A	N/A	N/A
ncbi_phylum	NCBI Phylum	A 'Phylum' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the NCBI.	text	['BV-BRC', 'PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']	BVBRC	no example needed	N/A	N/A	N/A
ncbi_subphylum	NCBI Subphylum	A 'Subphylum' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the NCBI.	text	['PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']	NCBI Taxonomy	no example needed	N/A	N/A	N/A
ncbi_class	NCBI Class	A 'Class' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the NCBI.	text	['BV-BRC', 'PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']	BVBRC	no example needed	N/A	N/A	N/A
ncbi_order	NCBI Order	A 'Order' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the NCBI.	text	['BV-BRC', 'PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']	BVBRC	no example needed	N/A	N/A	N/A
ncbi_suborder	NCBI Suborder	A 'suborder' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the NCBI.	text	['PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']	NCBI Taxonomy	no example needed	N/A	N/A	N/A
ncbi_family	NCBI Family	A 'Family' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the NCBI.	text	['NCBI Virus', 'BV-BRC', 'PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']	NCBI Virus|BVBRC	Taxonomy Descision; no example needed	N/A	N/A	N/A
ncbi_subfamily	NCBI Subfamily	A 'Subfamily' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the NCBI.	text	['PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']	NCBI Taxonomy	no example needed	N/A	N/A	N/A
ncbi_genus	NCBI Genus	A 'Genus' is a rank in the taxonomic hierarchy into which virus a sequence can be classified. Defined by the NCBI.	text	['NCBI Virus', 'BV-BRC', 'PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']	NCBI Virus|BVBRC	Taxonomy Descision; no example needed	N/A	N/A	N/A
ncbi_subgenus	NCBI Subgenus	A 'Subgenus' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the NCBI.	text	['PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']	NCBI 	no example needed	N/A	N/A	N/A
ncbi_species	NCBI Species	A Species is the lowest taxonomic rank in the hierarchy approved by the NCBI. While subspecies levels of classification may exist for some viruses (e.g. Hepatitis C virus), the NCBI does not classify viruses below the species level. Defined by the NCBI.	text	['ENA', 'NCBI Virus', 'BV-BRC', 'PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']	NCBI Virus|BVBRC	NCBI Virus has only the virus species in this field, Taxonomy Descision; no example needed	N/A	N/A	N/A
genotype	Genotype	"The genotype or subtype of a virus sequence, as provided by the sequence submitter. This field comes from the ""/serotype"" field of the GenBank record and is shown as submitted. Consistency and accuracy may vary."	text	['MIGS-VI', 'NCBI Virus', 'Sample', 'Virus Info']	NCBI Virus	Is sample needed at all? Do we relate everything to the sequence/the virus  -> Variant, Taxonomy Decision: Variant or NCBI/ICTV Variant; no example needed	N/A	N/A	N/A
isolate	Isolate	Name of the virus isolate associated with the sample from which the virus sequence was obtained.	text	['ENA', 'NCBI Virus', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Virus Info']	NCBI Virus	Taxonomy Descision; not sure	N/A	N/A	N/A
host_age	Host Age	"Host age number only from ""BVBRC Host Age"". Caution: not yet standardized by unit!"	integer	['ENA', 'BV-BRC', 'ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical']	BVBRC	Seperation of values good for submission, display should be in one, needs curation from ENA values, seperate Fields for submission?; 	N/A	37 years	N/A
ncbi_lineage_ids	NCBI Lineage IDs	NCBI TaxIDs assigned to the virus sequence, from BVBRC.	integer	['BV-BRC', 'Taxonomy', 'Identifiers', 'NCBI Taxonomy']	BVBRC	no example needed	add|we will add NCBI Tax Names from the NCBI Taxonomy DB later	N/A	N/A
ncbi_lineage_names	NCBI Lineage Names	Aggregation of the NCBI Taxonomy Names associated with the virus sequence.	keyword	['BV-BRC', 'Taxonomy', 'Virus Info', 'NCBI Taxonomy']	BVBRC	no example needed	N/A	N/A	N/A
ictv_lineage_names	ICTV Lineage Names	Aggregation of the ICTV Taxonomy Names associated with the virus sequence.	keyword	['Taxonomy', 'Virus Info', 'ICTV Taxonomy']	VJDB	no example needed	N/A	N/A	N/A
ictv_exemplar	ICTV Exemplar	Flag indicating yes if the sequence is an exemplar of the species in the ICTV Taxonomy.	boolean	['Source', 'Flags']	ICTV	no example needed	N/A	N/A	N/A
ictv_host_group	ICTV Host Group	The ICTV Host source field content to be combined with other host group data from the other sources.	text	['Host', 'Host Info']	ICTV	N/A	N/A	N/A	Host source
bv_brc_host_age	BV-BRC Host Age	Host Age and Unit from BV-BRC.	keyword	['BV-BRC', 'Host', 'Clinical']	BVBRC	Seperation of values good for submission, display should be in one, needs curation from ENA values, seperate Fields for submission?	N/A	N/A	N/A
host_gtdb_species_name	Host GTDB Species Name	References the Host GTDB Species Name to which the NCBI host taxonomy ID of the virus sequence could be mapped. See the mapping file on the Datasets page.	text	['IMG/VR', 'PHD', 'PhiSpy', 'GTDB', 'Host', 'Host Taxonomy', 'GTDB Taxonomy']	IMG/VR|PhiSpy|PhD	N/A	N/A	N/A	N/A
unique_representative	Unique Representative	Flag indicating yes if the sequence is a representative for a group of identical VirJenDB sequences.	boolean	['Analysis', 'Flags']	VJDB	N/A	N/A	N/A	N/A
unique_reference	Unique Reference	The VirJenDB ID for the unique representative sequence. For the non-phages, the smallest Accession in the group. See documentation for selection details.	keyword	['Internal', 'Analysis', 'Workflows']	VJDB	N/A	N/A	N/A	N/A
cluster_representative	Cluster Representative	Flag indicating yes if the sequence is a representative sequence of a group of sequences, computed by VClust. See documentation for selection details.	boolean	['Analysis', 'Flags']	VJDB	N/A	N/A	N/A	N/A
cluster_reference	Cluster Reference	The VirJenDB ID of the representative of its cluster. See documentation for selection details.	keyword	['Analysis']	VJDB	N/A	N/A	N/A	N/A
predicted_method	Predicted Method	The tool used to predict the virus sequence. No value means that it is not a predicted virus sequence. 	text	['Analysis', 'Workflows']	IMG/VR|PhiSpy|PhD	N/A	N/A	N/A	N/A
host_accession	Host Accession	Host Accession from NCBI GenBank that refers to the host sequence from which the prophage was predicted.	keyword	['IMG/VR', 'PhiSpy', 'Host', 'Identifiers']	VJDB	N/A	N/A	N/A	N/A
host_bioproject_accession	Host BioProject Accession	References the BioProject Accession associated with the host sequence.	keyword	['IMG/VR', 'PhiSpy', 'Host', 'Identifiers']	IMG/VR|PhiSpy|PhD	N/A	N/A	N/A	N/A
host_biosample_accession	Host Biosample Accession	References the BioSample Accession associated with the host sequence.	keyword	['IMG/VR', 'PhiSpy', 'Host', 'Identifiers']	IMG/VR|PhiSpy|PhD	N/A	N/A	N/A	N/A
host_country	Host Country	Country or sea area origin of the sample from which the host sequence originates.	text	['IMG/VR', 'PhiSpy', 'Host', 'Collection']	IMG/VR|PhiSpy|PhD	N/A	N/A	Germany	N/A
host_collection_date	Host Collection Date	Date of collection of the sample from which the host sequence originates.	date	['IMG/VR', 'PhiSpy', 'Host', 'Collection']	IMG/VR|PhiSpy|PhD	N/A	N/A	2023-05-23	N/A
host_imgm_taxon_oid	Host IMGM Taxon OID	Associated Host IMGM Taxon OID from which the virus sequence was extracted by IMG/VR.	keyword	['IMG/VR', 'Host', 'Identifiers']	IMG/VR|PhiSpy|PhD	N/A	N/A	N/A	N/A
host_average_sequence_depth	Host Average Sequence Depth	Average sequencing depth across the host sequence. Multiple host associations/predictions separated by semicolons. 	float	['IMG/VR', 'PhiSpy', 'Host', 'Workflows']	IMG/VR|PhiSpy|PhD	N/A	N/A	12.0x	N/A
host_sequencing_platform	Host Sequencing Platform	Instrument or sequencing platform used for host sequencing. Multiple host associations/predictions separated by semicolons. 	text	['IMG/VR', 'PhiSpy', 'Workflows', 'Host']	IMG/VR|PhiSpy|PhD	N/A	N/A	CAPILLARY	N/A
host_association_method	Host Association Method	"Method by which the fields ""Host Accession ID"" from NCBI GenBank or ""NCBI Taxonomy Lineage"" was associated to the virus sequence. Currently (v1.0) either a host association from the data source or PhiSpy prophage prediction. Multiple host associations/predictions separated by semicolons. "	text	['IMG/VR', 'PhiSpy', 'Workflows', 'Host']	VJDB	N/A	N/A	N/A	N/A
