vjdbv1.1_field_id	vjdbv1.1_name	vjdbv1.1_description	vjdbv1.1_privacy	vjdbv1.1_tags	vjdb_submission_requiredness	vjdb_example	vjdb_validation_rules	ena_submission_fieldtype	ena_submission_validation
study_description	Study Description	Briefly describes the goals, purpose, and scope of the study.  this need not be listed if it can be inherited from a referenced publication.	internal	"[""ENA ERC32"", ""ENA ERC33"", ""ENA Study"", ""VJDB Study"", ""Organizational"", ""Study""]"	mandatory	N/A	Free text	textarea	freetext
study_title	Study Title	Clear and useful title of the study/project, e.g. a title usable for a publication or the purpose of the project and its timeframe.	internal	"[""ENA ERC32"", ""ENA ERC33"", ""ENA Study"", ""VJDB Study"", ""Organizational"", ""Study""]"	mandatory	N/A	Free text	text	freetext
subject_exposure	Subject Exposure	Exposure of the subject to infected human or animals, such as poultry, wild bird or swine. If multiple exposures are applicable, these are separated by semicolon. Example: poultry;wild bird	internal	"[""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical ""]"	optional	poultry; wild  bird	Free text, multiple values seperated by semicolon	text	unique
subject_exposure_duration	Subject Exposure Duration	Duration of the exposure of the subject to an infected human or animal. If multiple exposures are applicable, their duration is stated in the same order in which the exposure in the field was reported: 'subject exposure'. Example: 1 day; 0.33 days (Units: year)	internal	"[""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical ""]"	optional	1 day; 0.33 days 	Decimal number value followed by an empty space and the unit(!). If there are multiple values in Subject Exposure field add equally may fields here in the same order as Subject Exposure(!)	text	unique
taxonomy_tree_hash	Taxonomy Tree Hash	Hash ontent for the rank in the taxonomy tree.	internal	"[""Internal"", ""Workflows""]"	N/A	N/A	N/A	N/A	N/A
type_exposure	Type Exposure	Setting within which the subject is exposed to animals, such as farm, slaughterhouse, food preparation. if multiple exposures are applicable, please state their type in the same order in which you reported the exposure in the field 'subject exposure'. example: backyard flock; confined animal feeding operation	internal	"[""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical ""]"	optional	backyard flock; confined animal feeding operation	Free text, multiple values seperated by semicolon. If there are multiple values in Subject Exposure field add equally may fields here in the same order as Subject Exposure(!)	text	unique
bvbrc_update_date	Update Date	Last update date of the sequence in BVBRC (whole entry).	internal	"[""BV-BRC"", ""Organizational"", ""Workflows""]"	N/A	2023-05-20	YYYY-MM-DD; Some browsers can display dates in a different format, but it is still correct(!)	date	freetext
update_date	VirJenDB Update Date	The last date the metadata was updated in the VirJen database.	internal	"[""Internal"", ""Workflows""]"	N/A	N/A	N/A	N/A	N/A
updated_fields	Updated Fields	List of VirJenDB metadata fields and their content when they are updated in each release in compare to the previous version	internal	"[""Internal"", ""Workflows""]"	N/A	N/A	N/A	N/A	N/A
vaccine_dosage	Vaccine Dosage	Dosage of the vaccine taken by the host. example: 0.05 ml	internal	"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical ""]"	optional	0.05 ml	Decimal number value followed by an empty space and the unit(!)	text	freetext
vaccine_lot_number	Vaccine Lot Number	Lot number of the vaccine	internal	"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical ""]"	optional	N/A	Free text	text	freetext
vaccine_manufacturer	Vaccine Manufacturer	Manufacturer of the vaccine.	internal	"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical ""]"	optional	N/A	Free text	text	freetext
is_viralzone_page	ViralZone Page	Flag indicating yes if there is one page in Viralzone associated to this Taxon ID.	internal	"[""Source"", ""Flags""]"	N/A	N/A	N/A	N/A	N/A
virus_id	Virus ID	Unique ID given by the investigator as strain might not be unique.	internal	"[""ENA"", ""RKI"", ""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical ""]"	recommended	N/A	N/A	text	unique
virus_old_names	Virus Old Names	Collection of outdated names for a particular virus.	internal	"[""Sample"", ""Clinical ""]"	N/A	N/A	N/A	N/A	N/A
who_oie_fao_clade_required_for_hpai_h5n1_viruses	WHO/OIE/FAO Clade (Required for HPAI H5N1 Viruses)	WHO/OIE/FAO clade should be included for highly pathogenic h5n1 viruses. example: 2.2	internal	"[""ENA ERC32"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Clinical ""]"	optional	2.2	Free text	text	freetext
n_perc_bvbrc	N Percentage BVBRC	Percentage of Ns within the whole sequence from BVBRC.	N/A	"[""MIGS-VI"", ""Internal"", ""Sequence""]"	N/A	N/A	N/A	text	freetext
number_of_contigs	Number of Contigs	Number of contigs in the sequence file.	N/A	"[""MIGS-VI"", ""Internal"", ""Sequence""]"	N/A	1;13	Whole number value(!)	text	freetext
sequence_version	Sequence Version	Version of the sequence (whole entry).	N/A	"[""RKI"", ""Internal"", ""Sequence""]"	N/A	N/A	N/A	text	freetext
sequencing_reason	Sequencing Reason	Why was the collected sample sequenced?	N/A	"[""ENA"", ""RKI"", ""Internal"", ""Workflows""]"	recommended	N/A	N/A	combo	controlled_vocabulary
analysis_title	Analysis Title	Clear and useful title to identify the analysis of your sequencing experiment. This title will not be submitted to the ENA on submission.	private	"[""VJDB Analysis"", ""Internal"", ""Workflows""]"	N/A	N/A	N/A	N/A	N/A
assembly_level	Assembly Level	The level of the Assembly (contig, scaffold, chromosome, complete genome).	private	"[""ENA"", ""ENA Analysis"", ""VJDB Analysis"", ""Internal"", ""Workflows""]"	mandatory	N/A	N/A	combo	controlled_vocabulary
assembly_program	Assembly Program	The program used for genome assembly.	private	"[""ENA"", ""MIGS-VI"", ""BV-BRC"", ""ENA Analysis"", ""VJDB Analysis"", ""Internal"", ""Workflows""]"	mandatory	N/A	Free text	text	freetext
assembly_type	Assembly Type	Identifier on how to treat the submitted assembly. Currently only assemblies from ‘clone or isolate’ are permitted.	private	"[""ENA"", ""ENA Analysis"", ""VJDB Analysis"", ""Internal"", ""Workflows""]"	mandatory	clone or isolate	"Defined list of values, for submissions it is always ""clone or isolate""(!)"	combo	controlled_vocabulary
file_format	File Format	The run data file model.	private	"[""ENA ERC32"", ""ENA ERC33"", ""ENA Run"", ""VJDB Run"", ""Internal"", ""Workflows""]"	mandatory	N/A	N/A	combo	controlled_vocabulary
file_name	File Name	The name or relative pathname of a run data file.	private	"[""ENA ERC32"", ""ENA ERC33"", ""ENA Run"", ""VJDB Run"", ""Internal"", ""Workflows""]"	mandatory	N/A	N/A	text	freetext
host_age	Host Age	Host age given by a number. Is connected to Host Age Unit. The number should match the unit. E.g. 2 years	private	"[""Internal"", ""Clinical ""]"	N/A	37	Whole number value	N/A	N/A
host_age_unit	Host Age Unit	Unit that describes the host age. Is connected to Host Age. Should fit the number, e.g. 2 years	private	"[""Host"", ""Clinical""]"	N/A	days; years	Defined list of values, provided by the VJDB	combo	controlled_vocabulary
lab_host_common_name_bvbrc	Lab Host Common Name BV-BRC	BVBRC Lab Host, common name of the lab host.	private	"[""BV-BRC"", ""Host"", ""Host Info""]"	N/A	N/A	N/A	suggestion	freetext
lab_host_ncbi_tax_id	Lab Host NCBI Tax ID	The NCBI Taxonomy ID of the lab host.	private	"[""MIGS-VI"", ""Host"", ""Identifiers""]"	N/A	N/A	N/A	text	unique
lab_host_species	Lab Host Species	The scientific species name of the lab host.	private	"[""ENA"", ""MIGS-VI"", ""Host"", ""Host Info""]"	optional	N/A	N/A	suggestion	unique
min_gap_length	Min Gap Length	Minimum length of consecutive Ns to be considered a gap.	private	"[""ENA"", ""ENA Analysis"", ""VJDB Analysis"", ""Internal"", ""Workflows""]"	optional	N/A	N/A	text	freetext
assembly_accession	Assembly Accession	NCBI Assembly Accession of the virus sequence.	public	"[""NCBI Virus"", ""BV-BRC"", ""PHD"", ""ENA Analysis"", ""VJDB Analysis"", ""Organizational"", ""Identifiers""]"	N/A	N/A	N/A	text	unique
average_depth_bvbrc	Average Depth BV-BRC	Average sequencing depth across the sequence from BVBRC.	public	"[""ENA"", ""BV-BRC"", ""Analysis"", ""Sequence"", ""Workflows""]"	mandatory	12.0x	Decimal number value followed by an x(!)	text	unique
bioproject_accession	Bioproject Accession	References the BioProject Accession that the virus sequence is a part of (INSDC). 	public	"[""ENA"", ""NCBI Virus"", ""BV-BRC"", ""ENA Study"", ""Organizational"", ""Identifiers""]"	mandatory	N/A	N/A	text	unique
biosample_accession	Biosample Accession	References the BioSample Accession that the virus sequence is a part of (INSDC).	public	"[""ENA"", ""MIGS-VI"", ""NCBI Virus"", ""BV-BRC"", ""ENA Sample"", ""VJDB Sample"", ""Organizational"", ""Identifiers""]"	mandatory	N/A	N/A	text	unique
accession_bvbrc	Accession BV-BRC	Accession of the sequence in the BV-BRC database.	public	"[""BV-BRC"", ""Organizational"", ""Identifiers""]"	N/A	N/A	N/A	text	unique
host_age_bvbrc	Host Age BV-BRC	Host Age with unit from BV-BRC.	public	"[""BV-BRC"", ""Host"", ""Clinical""]"	N/A	N/A	N/A	N/A	N/A
host_group_bvbrc	Host Group BV-BRC	The host's broader group association in a taxonomic context from BV-BRC.	public	"[""BV-BRC"", ""Host"", ""Host Info""]"	N/A	vertebrates; plants	Defined list of values, provided by the BVBRC(!)	suggestion	freetext
host_sex_bvbrc	Host Sex BV-BRC	Sex of the sampled host from the BV-BRC.	public	"[""ENA"", ""BV-BRC"", ""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample"", ""Host"", ""Clinical""]"	mandatory	female; hermaphrodite	Defined list of values, provided by the ENA	combo	controlled_vocabulary
is_bvbrc_sequence	Sequence BV-BRC	Flag indicating if this virus sequence is available in BV-BRC.	public	"[""Source"", ""Flags""]"	N/A	true	boolean value(!)	N/A	N/A
cluster_reference	Cluster Reference	The VirJenDB ID of the representative of its cluster. See documentation for selection details.	public	"[""Analysis""]"	N/A	N/A	N/A	N/A	N/A
is_cluster_representative	Cluster Representative	Flag indicating yes if the sequence is a representative sequence of a group of sequences, computed by the VirJenDB clustering workflow. See documentation for selection details.	public	"[""Analysis"", ""Flags""]"	N/A	N/A	N/A	N/A	N/A
is_coding_strand	Coding Strand	True if the current virus sequence is a coding strand. Calculated by part of the ViralClust tool suite. Only intended for ssRNA viruses.	public	"[""Analysis"", ""Flags"", ""Workflows""]"	N/A	TRUE	"TRUE: is coding strand
FALSE: is reverse complement"	N/A	N/A
collection_date	Collection Date	Date when the sample the virus sequence originates from was collected or sampled.	public	"[""ENA"", ""RKI"", ""MIGS-VI"", ""NCBI Virus"", ""BV-BRC"", ""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Collection""]"	mandatory	2023-05-28	YYYY-MM-DD; Some browsers can display dates in a different format, but it is still correct	date	freetext
collection_geo_location	Collection Geo Location	Country name and additional identifier like a state abbreviation from where the sample the sequence originates from was collected/sampled.	public	"[""NCBI Virus"", ""BV-BRC"", ""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Collection""]"	N/A	USA: NY 	Defined list of countries, provided by the INSDC: State or similar closer region(!)	text	freetext
collection_source_host_tissue	Collection Source Host Tissue	Tissue, Specimen or Source of the superhost from which the sample the virus sequence originates from was collected or sampled.	public	"[""ENA"", ""RKI"", ""MIGS-VI"", ""NCBI Virus"", ""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Collection""]"	recommended	brain; water; venom gland	Free text	combo	controlled_vocabulary
country	Country	Country or sea area where the sample the virus sequence originates from was collected or sampled.	public	"[""ENA"", ""MIGS-VI"", ""NCBI Virus"", ""BV-BRC"", ""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Collection""]"	mandatory	Germany	Defined list of countries, provided by the INSDC	combo	controlled_vocabulary
gc_content_bvbrc	GC Content BV-BRC	Percentage of G and C nucleotides in the sequence from BVBRC.	public	"[""BV-BRC"", ""Analysis"", ""Sequence"", ""Workflows""]"	N/A	37.355248	Decimal number value, describes a percentage(!)	text	freetext
is_genbank_sequence	GenBank Sequence	True if this virus sequence is available in Genbank.	public	"[""NCBI Virus"", ""Source"", ""Flags""]"	N/A	true	boolean value(!)	N/A	N/A
genome_completeness	Genome Completeness	Whether the sequence is a partial or complete sequence in NCBI GenBank.	public	"[""NCBI Virus"", ""Sample"", ""Sequence"", ""Workflows""]"	N/A	partial; complete	"Is ""partial"" or ""complete""(!)"	combo	controlled_vocabulary
genotype	Genotype	"The genotype or subtype of a virus sequence, as provided by the sequence submitter. This field comes from the ""/serotype"" field of the GenBank record and is shown as submitted. Consistency and accuracy may vary."	public	"[""MIGS-VI"", ""NCBI Virus"", ""Sample"", ""Virus Info""]"	N/A	N/A	N/A	text	freetext
host_accession	Host Accession	Host Accession from NCBI GenBank that refers to the host sequence from which the prophage was predicted.	public	"[""IMG/VR"", ""PhiSpy"", ""Host"", ""Identifiers""]"	N/A	N/A	N/A	N/A	N/A
host_age_num_bvbrc	Host Age Number BV-BRC	"Host age number from ""BVBRC Host Age"". Caution: not yet standardized by unit!"	public	"[""ENA"", ""BV-BRC"", ""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample"", ""Host"", ""Clinical""]"	recommended	37 years	Free text	text	unique
host_association_method	Host Association Method	"Method by which the fields ""Host Accession ID"" from NCBI GenBank or ""NCBI Taxonomy Lineage"" was associated to the virus sequence. Currently (v1.1) either a host association from the data source or PhiSpy prophage prediction. Multiple host associations/predictions separated by semicolons. "	public	"[""IMG/VR"", ""PhiSpy"", ""Workflows"", ""Host""]"	N/A	N/A	N/A	N/A	N/A
host_average_sequence_depth	Host Average Sequence Depth	Average sequencing depth across the host sequence. Multiple host associations/predictions separated by semicolons. 	public	"[""IMG/VR"", ""PhiSpy"", ""Host"", ""Workflows""]"	N/A	12.0x	Decimal number value followed by an x(!)	N/A	N/A
host_bioproject_accession	Host BioProject Accession	References the BioProject Accession associated with the host sequence.	public	"[""IMG/VR"", ""PhiSpy"", ""Host"", ""Identifiers""]"	N/A	N/A	N/A	N/A	N/A
host_biosample_accession	Host Biosample Accession	References the BioSample Accession associated with the host sequence.	public	"[""IMG/VR"", ""PhiSpy"", ""Host"", ""Identifiers""]"	N/A	N/A	N/A	N/A	N/A
host_collection_date	Host Collection Date	Date of collection of the sample from which the host sequence originates.	public	"[""IMG/VR"", ""PhiSpy"", ""Host"", ""Collection""]"	N/A	2023-05-23	YYYY-MM-DD; Some browsers can display dates in a different format, but it is still correct	N/A	N/A
host_common_name	Host Common Name	Common name of the host the virus sequence was collected from, e.g. human. Currently (v1.1) no ontology is applied.	public	"[""ENA"", ""NCBI Virus"", ""BV-BRC"", ""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample"", ""Host"", ""Host Taxonomy""]"	mandatory	human	Free text	suggestion	freetext
host_country	Host Country	Country or sea area origin of the sample from which the host sequence originates.	public	"[""IMG/VR"", ""PhiSpy"", ""Host"", ""Collection""]"	N/A	Germany	Defined list of countries, provided by the INSDC	N/A	N/A
host_species_name_gtdb	Host Species Name GTDB	References the Host GTDB Species Name to which the NCBI host taxonomy ID of the virus sequence could be mapped. See the mapping file on the Datasets page.	public	"[""IMG/VR"", ""PHD"", ""PhiSpy"", ""GTDB"", ""Host"", ""Host Taxonomy"", ""GTDB Taxonomy""]"	N/A	N/A	N/A	N/A	N/A
host_imgm_taxon_oid	Host IMGM Taxon OID	Associated Host IMGM Taxon OID from which the virus sequence was extracted by IMG/VR.	public	"[""IMG/VR"", ""Host"", ""Identifiers""]"	N/A	N/A	N/A	N/A	N/A
host_ncbi_tax_id	Host NCBI Tax ID	The host sequence NCBI Taxonomy ID. Can be based on the mapping by GTDB of the GTDB Species Name to the NCBI Taxonomy ID.	public	"[""MIGS-VI"", ""IMG/VR"", ""PHD"", ""PhiSpy"", ""ENA Sample"", ""VJDB Sample"", ""Host"", ""Host Taxonomy"", ""NCBI Taxonomy""]"	N/A	9606	Whole number value. Defined by the NCBI Taxonomy	text	unique
host_sequencing_platform	Host Sequencing Platform	Instrument or sequencing platform used for host sequencing. Multiple host associations/predictions separated by semicolons. 	public	"[""IMG/VR"", ""PhiSpy"", ""Workflows"", ""Host""]"	N/A	CAPILLARY	Defined list of values, provided by the ENA	N/A	N/A
host_species	Host Species	The scientific species name of the sampled host.	public	"[""ENA"", ""MIGS-VI"", ""BV-BRC"", ""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample"", ""Host"", ""Host Info""]"	mandatory	homo sapiens	Defined by the NCBI Taxonomy(!)	suggestion	unique
class_ictv	Class ICTV	A 'Class' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the ICTV.	public	"[""IMG/VR"", ""PHD"", ""PhiSpy"", ""Taxonomy"", ""Virus Taxonomy"", ""ICTV Taxonomy""]"	N/A	N/A	N/A	N/A	N/A
is_ictv_exemplar	ICTV Exemplar	Flag indicating yes if the sequence is an exemplar of the species in the ICTV Taxonomy.	public	"[""Source"", ""Flags""]"	N/A	N/A	N/A	N/A	N/A
family_ictv	Family ICTV	A 'Family' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the ICTV.	public	"[""IMG/VR"", ""PHD"", ""PhiSpy"", ""Taxonomy"", ""Virus Taxonomy"", ""ICTV Taxonomy""]"	N/A	N/A	N/A	N/A	N/A
genus_ictv	Genus ICTV	A 'Genus' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the ICTV.	public	"[""IMG/VR"", ""PHD"", ""PhiSpy"", ""Taxonomy"", ""Virus Taxonomy"", ""ICTV Taxonomy""]"	N/A	N/A	N/A	N/A	N/A
host_group_ictv	Host Group ICTV	The ICTV Host source field.	public	"[""Host"", ""Host Info""]"	N/A	N/A	N/A	N/A	N/A
kingdom_ictv	Kingdom ICTV	A 'Kingdom' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the ICTV.	public	"[""IMG/VR"", ""PHD"", ""PhiSpy"", ""Taxonomy"", ""Virus Taxonomy"", ""ICTV Taxonomy""]"	N/A	N/A	N/A	N/A	N/A
lineage_names_ictv	Lineage Names ICTV	Aggregation of the ICTV Taxonomy Names associated with the virus sequence.	public	"[""Taxonomy"", ""Virus Info"", ""ICTV Taxonomy""]"	N/A	N/A	N/A	N/A	N/A
order_ictv	Order ICTV	A 'Order' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the ICTV.	public	"[""IMG/VR"", ""PHD"", ""PhiSpy"", ""Taxonomy"", ""Virus Taxonomy"", ""ICTV Taxonomy""]"	N/A	N/A	N/A	N/A	N/A
phylum_ictv	Phylum ICTV	A 'Phylum' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the ICTV.	public	"[""IMG/VR"", ""PHD"", ""PhiSpy"", ""Taxonomy"", ""Virus Taxonomy"", ""ICTV Taxonomy""]"	N/A	N/A	N/A	N/A	N/A
realm_ictv	Realm ICTV	A 'Realm' is the highest taxonomic rank into which a virus sequence can be classified. Defined by the ICTV.	public	"[""IMG/VR"", ""PHD"", ""PhiSpy"", ""Taxonomy"", ""Virus Taxonomy"", ""ICTV Taxonomy""]"	N/A	N/A	N/A	N/A	N/A
species_ictv	Species ICTV	A Species is the lowest taxonomic rank in the hierarchy approved by the ICTV. While subspecies levels of classification may exist for some viruses (e.g. Hepatitis C virus), the ICTV does not classify viruses below the species level. Defined by the ICTV.	public	"[""IMG/VR"", ""PHD"", ""PhiSpy"", ""Taxonomy"", ""Virus Taxonomy"", ""ICTV Taxonomy""]"	N/A	N/A	N/A	suggestion	freetext
subfamily_ictv	Subfamily ICTV	A 'Subfamily' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the ICTV.	public	"[""PHD"", ""Taxonomy"", ""Virus Taxonomy"", ""ICTV Taxonomy""]"	N/A	N/A	N/A	N/A	N/A
subgenus_ictv	Subgenus ICTV	A 'Subgenus' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the ICTV.	public	"[""PHD"", ""Taxonomy"", ""Virus Taxonomy"", ""ICTV Taxonomy""]"	N/A	N/A	N/A	N/A	N/A
suborder_ictv	Suborder ICTV	A 'suborder' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the ICTV.	public	"[""PHD"", ""Taxonomy"", ""Virus Taxonomy"", ""ICTV Taxonomy""]"	N/A	N/A	N/A	N/A	N/A
subphylum_ictv	Subphylum ICTV	A 'Subphylum' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the ICTV.	public	"[""PHD"", ""Taxonomy"", ""Virus Taxonomy"", ""ICTV Taxonomy""]"	N/A	N/A	N/A	N/A	N/A
insdc_accession	INSDC Accession	GenBank Accession of the virus sequence. It equals NCBI Nucleotide Accession, ENA Accession, and DDBJ Accession, which are part of the INSDC.	public	"[""NCBI Virus"", ""BV-BRC"", ""PHD"", ""Organizational"", ""Identifiers""]"	N/A	N/A	N/A	text	unique
isolate	Isolate	Name of the virus isolate associated with the sample from which the virus sequence was obtained.	public	"[""ENA"", ""NCBI Virus"", ""ENA ERC32"", ""ENA ERC33"", ""ENA Sample"", ""VJDB Sample"", ""Sample"", ""Virus Info""]"	mandatory	N/A	Free text	text	freetext
molecule_type	Molecule Type	Molecule type of the sequence, e.g. ssRNA. Note that there are 15 molecule types corresponding to combinations of the Baltimore Classifications, from NCBI GenBank.	public	"[""ENA"", ""NCBI Virus"", ""Sample"", ""Virus Info""]"	optional	ssRNA(+)	Defined list of values(!)	combo	controlled_vocabulary
clade_ncbi	Clade NCBI	"Sub-species designation of the virus sequence, from NCBI GenBank field ""clade""."	public	"[""Sample"", ""Taxonomy"", ""NCBI Taxonomy""]"	N/A	N/A	N/A	N/A	N/A
class_ncbi	Class NCBI	A 'Class' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the NCBI.	public	"[""BV-BRC"", ""PHD"", ""Taxonomy"", ""Virus Taxonomy"", ""NCBI Taxonomy""]"	N/A	N/A	N/A	N/A	N/A
family_ncbi	Family NCBI	A 'Family' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the NCBI.	public	"[""NCBI Virus"", ""BV-BRC"", ""PHD"", ""Taxonomy"", ""Virus Taxonomy"", ""NCBI Taxonomy""]"	N/A	N/A	N/A	text	freetext
genotype_ncbi	Genotype NCBI	"Sub-species designation of the virus sequence, from NCBI GenBank field ""genotype""."	public	"[""Sample"", ""Taxonomy"", ""NCBI Taxonomy""]"	N/A	N/A	N/A	N/A	N/A
genus_ncbi	Genus NCBI	A 'Genus' is a rank in the taxonomic hierarchy into which virus a sequence can be classified. Defined by the NCBI.	public	"[""NCBI Virus"", ""BV-BRC"", ""PHD"", ""Taxonomy"", ""Virus Taxonomy"", ""NCBI Taxonomy""]"	N/A	N/A	N/A	text	freetext
isolate_ncbi	Isolate NCBI	"Sub-species designation of the virus sequence, from NCBI GenBank field ""isolate""."	public	"[""Sample"", ""Taxonomy"", ""NCBI Taxonomy""]"	N/A	N/A	N/A	N/A	N/A
kingdom_ncbi	Kingdom NCBI	A 'Kingdom' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the NCBI.	public	"[""BV-BRC"", ""PHD"", ""Taxonomy"", ""Virus Taxonomy"", ""NCBI Taxonomy""]"	N/A	N/A	N/A	N/A	N/A
lineage_ids_ncbi	Lineage IDs NCBI	NCBI TaxIDs assigned to the virus sequence, from BVBRC.	public	"[""BV-BRC"", ""Taxonomy"", ""Identifiers"", ""NCBI Taxonomy""]"	N/A	N/A	N/A	text	freetext
lineage_names_ncbi	Lineage Names NCBI	Aggregation of the NCBI Taxonomy Names associated with the virus sequence.	public	"[""BV-BRC"", ""Taxonomy"", ""Virus Info"", ""NCBI Taxonomy""]"	N/A	N/A	N/A	N/A	N/A
order_ncbi	Order NCBI	A 'Order' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the NCBI.	public	"[""BV-BRC"", ""PHD"", ""Taxonomy"", ""Virus Taxonomy"", ""NCBI Taxonomy""]"	N/A	N/A	N/A	N/A	N/A
phylum_ncbi	Phylum NCBI	A 'Phylum' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the NCBI.	public	"[""BV-BRC"", ""PHD"", ""Taxonomy"", ""Virus Taxonomy"", ""NCBI Taxonomy""]"	N/A	N/A	N/A	N/A	N/A
realm_ncbi	Realm NCBI	A 'Realm' is the highest taxonomic rank into which virus species can be classified. Defined by the NCBI.	public	"[""PHD"", ""Sample"", ""Virus Taxonomy"", ""NCBI Taxonomy""]"	N/A	N/A	N/A	N/A	N/A
serotype_ncbi	Serotype NCBI	"Sub-species designation of the virus sequence, from NCBI GenBank field ""serotype""."	public	"[""Sample"", ""Taxonomy"", ""NCBI Taxonomy""]"	N/A	N/A	N/A	N/A	N/A
species_ncbi	Species NCBI	A Species is the lowest taxonomic rank in the hierarchy approved by the NCBI. While subspecies levels of classification may exist for some viruses (e.g. Hepatitis C virus), the NCBI does not classify viruses below the species level. Defined by the NCBI.	public	"[""ENA"", ""NCBI Virus"", ""BV-BRC"", ""PHD"", ""Taxonomy"", ""Virus Taxonomy"", ""NCBI Taxonomy""]"	mandatory	N/A	N/A	suggestion	unique
tax_id_ncbi	Tax ID NCBI	The virus species NCBI Taxonomy ID.	public	"[""ENA"", ""MIGS-VI"", ""BV-BRC"", ""ENA ERC32"", ""ENA ERC33"", ""IMG/VR"", ""PHD"", ""PhiSpy"", ""GTDB"", ""ENA Sample"", ""VJDB Sample"", ""Taxonomy"", ""Identifiers"", ""NCBI Taxonomy""]"	mandatory	197911	Whole number value. Defined by the NCBI Taxonomy	suggestion	unique
subfamily_ncbi	Subfamily NCBI	A 'Subfamily' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the NCBI.	public	"[""PHD"", ""Taxonomy"", ""Virus Taxonomy"", ""NCBI Taxonomy""]"	N/A	N/A	N/A	N/A	N/A
subgenus_ncbi	Subgenus NCBI	A 'Subgenus' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the NCBI.	public	"[""PHD"", ""Taxonomy"", ""Virus Taxonomy"", ""NCBI Taxonomy""]"	N/A	N/A	N/A	N/A	N/A
suborder_ncbi	Suborder NCBI	A 'suborder' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the NCBI.	public	"[""PHD"", ""Taxonomy"", ""Virus Taxonomy"", ""NCBI Taxonomy""]"	N/A	N/A	N/A	N/A	N/A
subphylum_ncbi	Subphylum NCBI	A 'Subphylum' is a rank in the taxonomic hierarchy into which a virus sequence can be classified. Defined by the NCBI.	public	"[""PHD"", ""Taxonomy"", ""Virus Taxonomy"", ""NCBI Taxonomy""]"	N/A	N/A	N/A	N/A	N/A
organism_name	Organism Name	NCBI GenBank organism name: a taxonomic name at species level or below the species level.	public	"[""NCBI Virus"", ""PHD"", ""Sample"", ""Virus Info""]"	N/A	Influenza A virus (A/goose/Guangdong/1/1996(H5N1))	Free text; Should be species level or below(!)	suggestion	freetext
pangolin_lineage	Pangolin Lineage	Lineage as determined by Pangolin.	public	"[""RKI"", ""BV-BRC"", ""Analysis"", ""Sequence""]"	N/A	N/A	N/A	suggestion	freetext
sequencing_platform	Sequencing Platform	Instrument platform used for sequencing the virus; multiple values are seperated by a semicolon (only for assemblies).	public	"[""ENA"", ""RKI"", ""BV-BRC"", ""ENA ERC32"", ""ENA ERC33"", ""ENA Experiment"", ""VJDB Experiment"", ""Analysis"", ""Sequence"", ""Workflows""]"	mandatory	CAPILLARY	Defined list of values, provided by the ENA	combo	controlled_vocabulary
