vjdbv1.0_field_index,vjdbv1.0_field_id,vjdbv1.0_name,vjdbv1.0_description,vjdbv1.0_fields_type,vjdbv1.0_privacy,vjdbv0.2__field_id,vjdbv0.1_field_id,ena_field_id,rki_field_id,migs-vi_field_id,migs-uvig_field_id,env-o_field_id,ncbi_virus_n_nucleotide_field_id,bv-brc_b_field_name,ena_erc32_field_name,ena_erc33_field_name,img/vr_field_name,phd_field_name,phispy_field_name,gtdb_field_name,ena_submission_object_object_name,vjbd_submission_object_object_name,vjdbv1.0_group1,vjdbv1.0_group2,vjdbv1.0_group3,vjdbv1.0_tags,vjdbv1.0_input_source,vjdbv1.0_notes,vjdbv1.0_changes,vjdbv0.2_previous_changes,ncbi_virus_n_field_name,ncbi_virus_n_field_description,ncbi_virus_n_type,ncbi_virus_n_curation_notes,bv-brc_b_category,bv-brc_b_schema_category,bv-brc_b_field_id,bv-brc_b_field_type,bv-brc_b_type,bv-brc_b_curation_notes,ena_erc32_field_description,ena_erc32_controlled_vocabulary,ena_erc32_field_type,ena_erc33_field_description,ena_erc33_controlled_vocabulary,ena_erc33_field_type,ena_submission_requiredness,vjdb_submission_requiredness,vjdb_example,vjdb_validation_rules,ena_submission_fieldtype,ena_submission_validation,ictv40_i_field_name,vjdbv1.0_index,vjdbv1.0_search_method,vjdbv1.0_default_search
0co,sample_species_tax_id,Sample Species Tax ID,Temporary NCBI Tax ID used for mapping the taxonomy tree to the metadata table.,keyword,internal,sample_species_tax_id,tree_rank_txid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sample,Identifiers,NCBI Taxonomy,"['Sample', 'Identifiers', 'NCBI Taxonomy']",NCBI Taxonomy,"No mapping, seems to  be NCBI Tax ID; not sure",tbd,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,suggestion,freetext,N/A,metadata,no search,N/A
0cs,sequence_name,Sequence Name,Generic name of the sequence (Name of the entry).,text,internal,sequence_name,sample_name,N/A,N/A,assembly_name,N/A,N/A,N/A,Genome Name,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Analysis,N/A,Workflows,"['MIGS-VI', 'BV-BRC', 'Analysis', 'Workflows']",BVBRC,no example needed,change to BVBRC_genome_name,N/A,N/A,N/A,N/A,N/A,General Info,N/A,genome_name,string_ci,N/A,change name; keep private; compare to Organism Name from NCBI Virus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,text,freetext,N/A,metadata,full,default search
0cu,publication_doi,Publication DOI,The DOI of the publication associated with the sequence.,keyword,internal,sequence_publication_doi,publication_doi,N/A,N/A,associated_resource,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Organizational,Identifiers,N/A,"['MIGS-VI', 'Organizational', 'Identifiers']",no source,needs curation before public; ,remove,"Not public in VJDB, but is already in database",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.1000/182,N/A,text,freetext,N/A,metadata,exact,N/A
0cv,pubmed_accession,Pubmed Accession,The PubMed ID of publication associated with the sequence.,keyword,internal,sequence_pubmed_id,pmid,N/A,N/A,associated_resource,N/A,N/A,N/A,Publication,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Organizational,Identifiers,N/A,"['MIGS-VI', 'BV-BRC', 'Organizational', 'Identifiers']",BVBRC,needs curation before public; no example needed,N/A,N/A,N/A,N/A,N/A,N/A,DB Cross Reference,N/A,publication,string,N/A,multiple; to curate (compare with the number of pubs with ncbi virus),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,text,freetext,N/A,metadata,exact,N/A
0cw,update_date,Update Date,Last update date of the sequence in BVBRC (whole entry).,date,internal,sequence_update_date,update_date,N/A,N/A,N/A,N/A,N/A,N/A,Date Modified,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Organizational,N/A,Workflows,"['BV-BRC', 'Organizational', 'Workflows']",BVBRC,N/A,update definition: last update date of the record in bvbrc),"Not public in VJDB, but is already in database",N/A,N/A,N/A,N/A,Additional Info,N/A,date_modified,pdate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2023-05-20,"YYYY-MM-DD; Some browsers can display dates in a different format, but it is still correct(!)",date,freetext,N/A,metadata,range,N/A
0cz,insert_size,Insert Size,Insert size for paired reads.,keyword,internal,sequencing_insert_size,N/A,insert size,N/A,N/A,N/A,N/A,N/A,N/A,insert_size,insert_size,N/A,N/A,N/A,N/A,ENA Experiment,VJDB Experiment,Analysis,N/A,Workflows,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Analysis', 'ENA Experiment', 'VJDB Experiment', 'Workflows']",N/A,not sure,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Insert size for paired reads,N/A,N/A,(Optional) Insert size for paired reads,N/A,TEXT_FIELD,optional,optional,N/A,N/A,text,freetext,N/A,metadata,range,N/A
0da,instrument,Instrument,Instrument model used for sequencing.,text,internal,sequencing_instrument,N/A,instrument model,N/A,seq_meth,N/A,N/A,N/A,N/A,instrument_model,instrument_model,N/A,N/A,N/A,N/A,ENA Experiment,VJDB Experiment,Analysis,N/A,Workflows,"['ENA', 'MIGS-VI', 'ENA ERC32', 'ENA ERC33', 'Analysis', 'ENA Experiment', 'VJDB Experiment', 'Workflows']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Mandatory) Model of the sequencing instrument.,N/A,N/A,(Mandatory) Model of the sequencing instrument.,N/A,TEXT_CHOICE_FIELD,mandatory,mandatory,AB 310 Genetic Analyzer,"Defined list of values, provided by the ENA",combo,controlled_vocabulary,N/A,metadata,exact fuzzy,N/A
0db,library_construction_protocol,Library Construction Protocol,The protocol used to construct the sequencing library.,text,internal,sequencing_library_construction_protocol,N/A,library construction protocol,N/A,N/A,N/A,N/A,N/A,N/A,library_construction_protocol,library_construction_protocol,N/A,N/A,N/A,N/A,ENA Experiment,VJDB Experiment,Analysis,N/A,Workflows,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Analysis', 'ENA Experiment', 'VJDB Experiment', 'Workflows']",N/A,not sure,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Free form text describing the protocol by which the sequencing library was constructed.,N/A,N/A,(Optional) Free form text describing the protocol by which the sequencing library was constructed.,N/A,TEXT_FIELD,optional,optional,N/A,Free text,text,freetext,N/A,metadata,full fuzzy,N/A
0dc,library_description,Library Description,The design of the sequencing library including details of how it was constructed.,text,internal,sequencing_library_description,N/A,design_description,N/A,N/A,N/A,N/A,N/A,N/A,design_description,design_description,N/A,N/A,N/A,N/A,ENA Experiment,VJDB Experiment,Analysis,N/A,Workflows,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Analysis', 'ENA Experiment', 'VJDB Experiment', 'Workflows']",N/A,not sure,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Mandatory) Goal and setup of the individual library including library was constructed.,N/A,N/A,(Optional) Goal and setup of the individual library including library was constructed.,N/A,TEXT_AREA_FIELD,optional,optional,N/A,Free text,text,freetext,N/A,metadata,full fuzzy,N/A
0dd,library_layout,Library Layout,The sequencing library layout specifies whether to expect single or paired configuration of reads.,keyword,internal,sequencing_library_layout,N/A,library_layout,N/A,lib_layout,N/A,N/A,N/A,N/A,library_layout,library_layout,N/A,N/A,N/A,N/A,ENA Experiment,VJDB Experiment,Analysis,N/A,Workflows,"['ENA', 'MIGS-VI', 'ENA ERC32', 'ENA ERC33', 'Analysis', 'ENA Experiment', 'VJDB Experiment', 'Workflows']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Mandatory) Library_layout specifies whether to expect single, paired, or other configuration of reads. in the case of paired reads, information about the relative distance and orientation is specified.",N/A,N/A,"(Mandatory) Library_layout specifies whether to expect single, paired, or other configuration of reads. in the case of paired reads, information about the relative distance and orientation is specified.",N/A,TEXT_FIELD,mandatory,mandatory,SINGLE,"Defined list of values, provided by the ENA",combo,controlled_vocabulary,N/A,metadata,exact fuzzy,N/A
0de,library_name,Library Name,The name for the sequencing library if any.,text,internal,sequencing_library_name,N/A,library name,N/A,N/A,N/A,N/A,N/A,N/A,library_name,library_name,N/A,N/A,N/A,N/A,ENA Experiment,VJDB Experiment,Analysis,N/A,Workflows,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Analysis', 'ENA Experiment', 'VJDB Experiment', 'Workflows']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) The submitter's name for this library.,N/A,N/A,(Optional) The submitter's name for this library.,N/A,TEXT_FIELD,mandatory,mandatory,1111898265709,Free text,suggestion,freetext,N/A,metadata,full fuzzy,N/A
0df,library_selection,Library Selection,"The method used to select for or against, enrich, or screen the material being sequenced.",keyword,internal,sequencing_library_selection,N/A,library selection,N/A,lib_screen,N/A,N/A,N/A,N/A,library_selection,library_selection,N/A,N/A,N/A,N/A,ENA Experiment,VJDB Experiment,Analysis,N/A,Workflows,"['ENA', 'MIGS-VI', 'ENA ERC32', 'ENA ERC33', 'Analysis', 'ENA Experiment', 'VJDB Experiment', 'Workflows']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Mandatory) Method used to enrich the target in the sequence library preparation,N/A,N/A,(Mandatory) Method used to enrich the target in the sequence library preparation,N/A,TEXT_CHOICE_FIELD,mandatory,mandatory,unspecified; RANDOM,"Defined list of values, provided by the ENA",combo,controlled_vocabulary,N/A,metadata,exact fuzzy,N/A
0dg,library_source,Library Source,The library source specifies the type of source material that is being sequenced.,keyword,internal,sequencing_library_source,N/A,library source,N/A,N/A,N/A,N/A,N/A,N/A,library_source,library_source,N/A,N/A,N/A,N/A,ENA Experiment,VJDB Experiment,Analysis,N/A,Workflows,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Analysis', 'ENA Experiment', 'VJDB Experiment', 'Workflows']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Mandatory) The library_source specifies the type of source material that is being sequenced.,N/A,N/A,(Mandatory) The library_source specifies the type of source material that is being sequenced.,N/A,TEXT_CHOICE_FIELD,mandatory,mandatory,VIRAL RNA,"Defined list of values, provided by the ENA",combo,controlled_vocabulary,N/A,metadata,exact fuzzy,N/A
0dh,library_strategy,Library Strategy,The sequencing technique intended for this sequencing library.,keyword,internal,sequencing_library_strategy,strategy?,library strategy,N/A,N/A,N/A,N/A,N/A,N/A,library_strategy,library_strategy,N/A,N/A,N/A,N/A,ENA Experiment,VJDB Experiment,Analysis,N/A,Workflows,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Analysis', 'ENA Experiment', 'VJDB Experiment', 'Workflows']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Mandatory) Sequencing technique intended for this library.,N/A,N/A,(Mandatory) Sequencing technique intended for this library.,N/A,TEXT_CHOICE_FIELD,mandatory,mandatory,AMPLICON,"Defined list of values, provided by the ENA",combo,controlled_vocabulary,N/A,metadata,exact fuzzy,N/A
0dp,virus_id,Virus ID,Unique ID given by the investigator as strain might not be unique.,keyword,internal,virus_id,wetlab_id?,virus identifier,SEQUENCE. SEQUENCING_ LAB_SAMPLE_ID maybe,N/A,N/A,N/A,N/A,N/A,virus identifier,virus identifier,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA', 'RKI', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,not sure,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Recommended) Unique laboratory identifier assigned to the virus by the investigator. strain name is not sufficient since it might not be unique due to various passsages of the same virus. format: up to 50 alphanumeric characters,N/A,N/A,(Recommended) Unique laboratory identifier assigned to the virus by the investigator. strain name is not sufficient since it might not be unique due to various passsages of the same virus. format: up to 50 alphanumeric characters,N/A,TEXT_FIELD,recommended,recommended,N/A,N/A,text,unique,N/A,metadata,exact,N/A
0dq,antiviral_treatment,Antiviral Treatment,"Antiviral treatment used for this subject, such as zanamavir oseltamivir, amantadine.",keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,antiviral treatment,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Host,Clinical ,N/A,"['ENA ERC32', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Optional) Antiviral treatment used for this subject, such as zanamavir oseltamivir, amantadine. example: rimantadine",N/A,N/A,N/A,N/A,N/A,optional,optional,rimantadine; amantadine,Free text,text,freetext,N/A,metadata,full fuzzy,N/A
0dr,antiviral_treatment_dosage,Antiviral Treatment Dosage,Dosage of the treatment taken by the subject. example: 0.05 mg.,float,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,antiviral treatment dosage,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Host,Clinical ,N/A,"['ENA ERC32', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Dosage of the treatment taken by the subject. example: 0.05 mg,N/A,N/A,N/A,N/A,N/A,optional,optional,0.05 mg,Decimal number value followed by an empty space and the unit(!),text,freetext,N/A,metadata,full,N/A
0ds,antiviral_treatment_duration,Antiviral Treatment Duration,Duration of antiviral treatment after onset of clinical symptoms in days.example: 5.,integer,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,antiviral treatment duration,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Host,Clinical ,N/A,"['ENA ERC32', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Duration of antiviral treatment after onset of clinical symptoms in days.example: 5,N/A,N/A,N/A,N/A,N/A,optional,optional,5,Decimal number value(!),text,unique,N/A,metadata,range,N/A
0dt,antiviral_treatment_initiation,Antiviral Treatment Initiation,Initiation of antiviral treatment after onset of clinical symptoms in days. example: 2.5.,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,antiviral treatment initiation,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Host,Clinical ,N/A,"['ENA ERC32', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Initiation of antiviral treatment after onset of clinical symptoms in days. example: 2.5,N/A,N/A,N/A,N/A,N/A,optional,optional,2.5,Decimalnumber value(!),text,unique,N/A,metadata,range,N/A
0dw,gravidity,Gravidity,"Whether or not the subject is gravid. if so, report date due or date post-conception and specify which of these two dates is being reported.",keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,gravidity,gravidity,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Optional) Whether or not the subject is gravid. if so, report date due or date post-conception and specify which of these two dates is being reported.",N/A,N/A,"(Optional) Whether or not the subject is gravid. if so, report date due or date post-conception and specify which of these two dates is being reported.",N/A,TEXT_FIELD,optional,optional,"no: yes, post-conception date 2020-05-07","yes/no, if yes provide post conception date or date due with carification which one it is(!)",text,freetext,N/A,metadata,no ,N/A
0dx,hospitalisation,Hospitalisation,Was the subject confined to a hospital as a result of virus infection or problems occurring secondary to virus infection?,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,hospitalisation,hospitalisation,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Was the subject confined to a hospital as a result of virus infection or problems occurring secondary to virus infection?,N/A,N/A,(Optional) Was the subject confined to a hospital as a result of virus infection or problems occurring secondary to virus infection?,N/A,TEXT_CHOICE_FIELD,optional,optional,yes; no,"Defined list of values, provided by the ENA",combo,controlled_vocabulary,N/A,metadata,no ,N/A
0dy,host_description,Host Description,Other descriptive information relating to the host.,text,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,host description,host description,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Host,Clinical ,N/A,"['ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Other descriptive information relating to the host.,N/A,N/A,(Optional) Other descriptive information relating to the host.,N/A,TEXT_FIELD,optional,optional,N/A,Free text,textarea,freetext,N/A,metadata,no ,N/A
0dz,illness_duration,Illness Duration,The number of days the illness lasted. example: 4,integer,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,illness duration,illness duration,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Host,Clinical ,N/A,"['ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) The number of days the illness lasted. example: 4,N/A,N/A,(Optional) The number of days the illness lasted. example: 4,N/A,TEXT_FIELD,optional,optional,4,Whole number value,text,unique,N/A,metadata,no ,N/A
0ea,illness_onset_date,Illness Onset Date,Date the subject showed an onset of symptoms. format: yyyy-mm-dd. example: 2011-10-20,date,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,illness onset date,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Host,Clinical ,N/A,"['ENA ERC32', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Date the subject showed an onset of symptoms. format: yyyy-mm-dd. example: 2011-10-20,N/A,N/A,N/A,N/A,N/A,optional,optional,2011-10-20,"YYYY-MM-DD; Some browsers can display dates in a different format, but it is still correct(!)",date,freetext,N/A,metadata,no ,N/A
0eb,illness_symptoms,Illness Symptoms,"The symptoms that have been reported in relation to the illness, such as cough, diarrhea, fever, headache, malaise, myalgia, nausea, runny_nose, shortness_of_breath, sore_throat. if multiple exposures are applicable, please state them separated by semicolon.",text,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,illness symptoms,illness symptoms,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Host,Clinical ,N/A,"['ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Optional) The symptoms that have been reported in relation to the illness, such as cough, diarrhea, fever, headache, malaise, myalgia, nausea, runny_nose, shortness_of_breath, sore_throat. if multiple exposures are applicable, please state them separated by semicolon.",N/A,N/A,"(Optional) The symptoms that have been reported in relation to the illness, such as cough, diarrhea, fever, headache, malaise, myalgia, nausea, runny_nose, shortness_of_breath, sore_throat. if multiple exposures are applicable, please state them separated by semicolon.",N/A,TEXT_AREA_FIELD,optional,optional,fever; headache; malaise; myalgia; nausea; runny_nose,"Free text, symptoms seperated by semicolon",text,freetext,N/A,metadata,no ,N/A
0ec,influenza_strain_unique_number,Influenza Strain Unique Number,"Unique number of the strain which is reported as a part of the influenza strain name, such as a/chicken/fujian/411/2002(hxn1). format: integer number, example: 411",text,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,influenza strain unique number,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Optional) Unique number of the strain which is reported as a part of the influenza strain name, such as a/chicken/fujian/411/2002(hxn1). format: integer number, example: 411",N/A,N/A,N/A,N/A,N/A,optional,optional,411,Whole number value,text,unique,N/A,metadata,no ,N/A
0ed,influenza_vaccination_date,Influenza Vaccination Date,Date that the influenza vaccination was administered to the subject over the past year. format: yyyy-mm-dd. example: 2007-05-12,date,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,influenza vaccination date,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Date that the influenza vaccination was administered to the subject over the past year. format: yyyy-mm-dd. example: 2007-05-12,N/A,N/A,N/A,N/A,N/A,optional,optional,2007-05-12,"YYYY-MM-DD; Some browsers can display dates in a different format, but it is still correct(!)",date,freetext,N/A,metadata,no ,N/A
0ee,influenza_vaccination_type,Influenza Vaccination Type,Influenza vaccinations that have been administered to the subject over the last year. example: 2009 h1n1 flumist,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,influenza vaccination type,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Influenza vaccinations that have been administered to the subject over the last year. example: 2009 h1n1 flumist,N/A,N/A,N/A,N/A,N/A,optional,optional,2009 h1n1 flumist,Free text,text,freetext,N/A,metadata,no ,N/A
0ef,influenza_like_illness_at_the_time_of_sample_collection,Influenza-like Illness at the Time of Sample Collection,Is the subject at the time of sample collection considered to have influenza like illness?,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,influenza-like illness at the time of sample collection,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Is the subject at the time of sample collection considered to have influenza like illness?,N/A,N/A,N/A,N/A,N/A,optional,optional,yes; no,"Defined list of values, provided by the ENA",text,freetext,N/A,metadata,no ,N/A
0eg,inoculation_dose,Inoculation Dose,Dose used for the inoculoation experiment.,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,inoculation dose,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,not sure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Dose used for the inoculoation experiment.,N/A,N/A,N/A,N/A,N/A,optional,optional,N/A,Free text,text,freetext,N/A,metadata,no ,N/A
0eh,inoculation_route,Inoculation Route,Brief description of the protocol inoculation route.,text,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,inoculation route,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,not sure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Brief description of the protocol inoculation route.,N/A,N/A,N/A,N/A,N/A,optional,optional,N/A,Free text,text,freetext,N/A,metadata,no ,N/A
0ei,inoculation_stock_availability,Inoculation Stock Availability,Is the virus stock used for the inoculation available?,text,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,inoculation stock availability,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,not sure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Is the virus stock used for the inoculation available?,N/A,N/A,N/A,N/A,N/A,optional,optional,N/A,Free text,combo,controlled_vocabulary,N/A,metadata,no ,N/A
0ej,lineage_swl_required_for_h1n1_viruses,Lineage: SWL (Required for H1N1 Viruses),Does the h1n1 influenza virus originate from a swine-like outbreak (as opposed to a seasonal flu)?,integer,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,lineage:swl (required for H1N1 viruses),N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Analysis,Clinical ,N/A,"['ENA ERC32', 'Analysis', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,not sure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Does the h1n1 influenza virus originate from a swine-like outbreak (as opposed to a seasonal flu)?,N/A,N/A,N/A,N/A,N/A,optional,optional,N/A,Free text,combo,controlled_vocabulary,N/A,metadata,no ,N/A
0ek,meaning_of_cut_off_value,Meaning of Cut Off Value,Description helping to explain what the cut off value means.,keyword,internal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,meaning of cut off value,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Description helping to explain what the cut off value means.,N/A,N/A,N/A,N/A,N/A,optional,optional,N/A,Free text,text,freetext,N/A,metadata,no ,N/A
