vjdbv1.0_field_id,vjdbv1.0_name,vjdbv1.0_description,vjdbv1.0_fields_type,rki_field_id,migs-vi_field_id,migs-uvig_field_id,ncbi_virus_n_nucleotide_field_id,bv-brc_b_field_name,ena_erc32_field_name,ena_erc33_field_name,img/vr_field_name,phd_field_name,phispy_field_name,gtdb_field_name,vjdbv1.0_tags,vjdbv1.0_input_source,vjdbv1.0_notes,vjdbv1.0_changes,ncbi_virus_n_field_description,ncbi_virus_n_type,ncbi_virus_n_curation_notes,bv-brc_b_category,bv-brc_b_schema_category,bv-brc_b_field_id,bv-brc_b_field_type,bv-brc_b_type,bv-brc_b_curation_notes,ena_erc32_field_description,ena_erc32_controlled_vocabulary,ena_erc32_field_type,ena_erc33_field_description,ena_erc33_controlled_vocabulary,ena_erc33_field_type,vjdb_example,ictv40_i_field_name
antiviral_treatment,Antiviral Treatment,"Antiviral treatment used for this subject, such as zanamavir oseltamivir, amantadine.",keyword,N/A,N/A,N/A,N/A,N/A,antiviral treatment,N/A,N/A,N/A,N/A,N/A,"['ENA ERC32', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Optional) Antiviral treatment used for this subject, such as zanamavir oseltamivir, amantadine. example: rimantadine",N/A,N/A,N/A,N/A,N/A,rimantadine; amantadine,N/A
antiviral_treatment_dosage,Antiviral Treatment Dosage,Dosage of the treatment taken by the subject. example: 0.05 mg.,float,N/A,N/A,N/A,N/A,N/A,antiviral treatment dosage,N/A,N/A,N/A,N/A,N/A,"['ENA ERC32', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Dosage of the treatment taken by the subject. example: 0.05 mg,N/A,N/A,N/A,N/A,N/A,0.05 mg,N/A
antiviral_treatment_duration,Antiviral Treatment Duration,Duration of antiviral treatment after onset of clinical symptoms in days.example: 5.,integer,N/A,N/A,N/A,N/A,N/A,antiviral treatment duration,N/A,N/A,N/A,N/A,N/A,"['ENA ERC32', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Duration of antiviral treatment after onset of clinical symptoms in days.example: 5,N/A,N/A,N/A,N/A,N/A,5,N/A
antiviral_treatment_initiation,Antiviral Treatment Initiation,Initiation of antiviral treatment after onset of clinical symptoms in days. example: 2.5.,keyword,N/A,N/A,N/A,N/A,N/A,antiviral treatment initiation,N/A,N/A,N/A,N/A,N/A,"['ENA ERC32', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Initiation of antiviral treatment after onset of clinical symptoms in days. example: 2.5,N/A,N/A,N/A,N/A,N/A,2.5,N/A
gravidity,Gravidity,"Whether or not the subject is gravid. if so, report date due or date post-conception and specify which of these two dates is being reported.",keyword,N/A,N/A,N/A,N/A,N/A,gravidity,gravidity,N/A,N/A,N/A,N/A,"['ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Optional) Whether or not the subject is gravid. if so, report date due or date post-conception and specify which of these two dates is being reported.",N/A,N/A,"(Optional) Whether or not the subject is gravid. if so, report date due or date post-conception and specify which of these two dates is being reported.",N/A,TEXT_FIELD,"no: yes, post-conception date 2020-05-07",N/A
hospitalisation,Hospitalisation,Was the subject confined to a hospital as a result of virus infection or problems occurring secondary to virus infection?,keyword,N/A,N/A,N/A,N/A,N/A,hospitalisation,hospitalisation,N/A,N/A,N/A,N/A,"['ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Was the subject confined to a hospital as a result of virus infection or problems occurring secondary to virus infection?,N/A,N/A,(Optional) Was the subject confined to a hospital as a result of virus infection or problems occurring secondary to virus infection?,N/A,TEXT_CHOICE_FIELD,yes; no,N/A
host_description,Host Description,Other descriptive information relating to the host.,text,N/A,N/A,N/A,N/A,N/A,host description,host description,N/A,N/A,N/A,N/A,"['ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Other descriptive information relating to the host.,N/A,N/A,(Optional) Other descriptive information relating to the host.,N/A,TEXT_FIELD,N/A,N/A
illness_duration,Illness Duration,The number of days the illness lasted. example: 4,integer,N/A,N/A,N/A,N/A,N/A,illness duration,illness duration,N/A,N/A,N/A,N/A,"['ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) The number of days the illness lasted. example: 4,N/A,N/A,(Optional) The number of days the illness lasted. example: 4,N/A,TEXT_FIELD,4,N/A
illness_onset_date,Illness Onset Date,Date the subject showed an onset of symptoms. format: yyyy-mm-dd. example: 2011-10-20,date,N/A,N/A,N/A,N/A,N/A,illness onset date,N/A,N/A,N/A,N/A,N/A,"['ENA ERC32', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Date the subject showed an onset of symptoms. format: yyyy-mm-dd. example: 2011-10-20,N/A,N/A,N/A,N/A,N/A,2011-10-20,N/A
illness_symptoms,Illness Symptoms,"The symptoms that have been reported in relation to the illness, such as cough, diarrhea, fever, headache, malaise, myalgia, nausea, runny_nose, shortness_of_breath, sore_throat. if multiple exposures are applicable, please state them separated by semicolon.",text,N/A,N/A,N/A,N/A,N/A,illness symptoms,illness symptoms,N/A,N/A,N/A,N/A,"['ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Optional) The symptoms that have been reported in relation to the illness, such as cough, diarrhea, fever, headache, malaise, myalgia, nausea, runny_nose, shortness_of_breath, sore_throat. if multiple exposures are applicable, please state them separated by semicolon.",N/A,N/A,"(Optional) The symptoms that have been reported in relation to the illness, such as cough, diarrhea, fever, headache, malaise, myalgia, nausea, runny_nose, shortness_of_breath, sore_throat. if multiple exposures are applicable, please state them separated by semicolon.",N/A,TEXT_AREA_FIELD,fever; headache; malaise; myalgia; nausea; runny_nose,N/A
influenza_strain_unique_number,Influenza Strain Unique Number,"Unique number of the strain which is reported as a part of the influenza strain name, such as a/chicken/fujian/411/2002(hxn1). format: integer number, example: 411",text,N/A,N/A,N/A,N/A,N/A,influenza strain unique number,N/A,N/A,N/A,N/A,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Optional) Unique number of the strain which is reported as a part of the influenza strain name, such as a/chicken/fujian/411/2002(hxn1). format: integer number, example: 411",N/A,N/A,N/A,N/A,N/A,411,N/A
influenza_vaccination_date,Influenza Vaccination Date,Date that the influenza vaccination was administered to the subject over the past year. format: yyyy-mm-dd. example: 2007-05-12,date,N/A,N/A,N/A,N/A,N/A,influenza vaccination date,N/A,N/A,N/A,N/A,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Date that the influenza vaccination was administered to the subject over the past year. format: yyyy-mm-dd. example: 2007-05-12,N/A,N/A,N/A,N/A,N/A,2007-05-12,N/A
influenza_vaccination_type,Influenza Vaccination Type,Influenza vaccinations that have been administered to the subject over the last year. example: 2009 h1n1 flumist,keyword,N/A,N/A,N/A,N/A,N/A,influenza vaccination type,N/A,N/A,N/A,N/A,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Influenza vaccinations that have been administered to the subject over the last year. example: 2009 h1n1 flumist,N/A,N/A,N/A,N/A,N/A,2009 h1n1 flumist,N/A
influenza_like_illness_at_the_time_of_sample_collection,Influenza-like Illness at the Time of Sample Collection,Is the subject at the time of sample collection considered to have influenza like illness?,keyword,N/A,N/A,N/A,N/A,N/A,influenza-like illness at the time of sample collection,N/A,N/A,N/A,N/A,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Is the subject at the time of sample collection considered to have influenza like illness?,N/A,N/A,N/A,N/A,N/A,yes; no,N/A
inoculation_dose,Inoculation Dose,Dose used for the inoculoation experiment.,keyword,N/A,N/A,N/A,N/A,N/A,inoculation dose,N/A,N/A,N/A,N/A,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,not sure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Dose used for the inoculoation experiment.,N/A,N/A,N/A,N/A,N/A,N/A,N/A
inoculation_route,Inoculation Route,Brief description of the protocol inoculation route.,text,N/A,N/A,N/A,N/A,N/A,inoculation route,N/A,N/A,N/A,N/A,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,not sure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Brief description of the protocol inoculation route.,N/A,N/A,N/A,N/A,N/A,N/A,N/A
inoculation_stock_availability,Inoculation Stock Availability,Is the virus stock used for the inoculation available?,text,N/A,N/A,N/A,N/A,N/A,inoculation stock availability,N/A,N/A,N/A,N/A,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,not sure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Is the virus stock used for the inoculation available?,N/A,N/A,N/A,N/A,N/A,N/A,N/A
lineage_swl_required_for_h1n1_viruses,Lineage: SWL (Required for H1N1 Viruses),Does the h1n1 influenza virus originate from a swine-like outbreak (as opposed to a seasonal flu)?,integer,N/A,N/A,N/A,N/A,N/A,lineage:swl (required for H1N1 viruses),N/A,N/A,N/A,N/A,N/A,"['ENA ERC32', 'Analysis', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,not sure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Does the h1n1 influenza virus originate from a swine-like outbreak (as opposed to a seasonal flu)?,N/A,N/A,N/A,N/A,N/A,N/A,N/A
meaning_of_cut_off_value,Meaning of Cut Off Value,Description helping to explain what the cut off value means.,keyword,N/A,N/A,N/A,N/A,N/A,meaning of cut off value,N/A,N/A,N/A,N/A,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Description helping to explain what the cut off value means.,N/A,N/A,N/A,N/A,N/A,N/A,N/A
number_of_inoculated_individuals,Number of Inoculated Individuals,Number of host individuals inoculated for the experiment.,integer,N/A,N/A,N/A,N/A,N/A,number of inoculated individuals,N/A,N/A,N/A,N/A,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Number of host individuals inoculated for the experiment.,N/A,N/A,N/A,N/A,N/A,5,N/A
personal_protective_equipment,Personal Protective Equipment,"Use of personal protective equipment, such as gloves, gowns, during any type of exposure. example: mask",keyword,N/A,N/A,N/A,N/A,N/A,personal protective equipment,personal protective equipment,N/A,N/A,N/A,N/A,"['ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Optional) Use of personal protective equipment, such as gloves, gowns, during any type of exposure. example: mask",N/A,N/A,"(Optional) Use of personal protective equipment, such as gloves, gowns, during any type of exposure. example: mask",N/A,TEXT_FIELD,mask,N/A
sample_capture_status,Sample Capture Status,Reason for the sample collection.,keyword,N/A,N/A,N/A,N/A,N/A,sample capture status,sample capture status,N/A,N/A,N/A,N/A,"['ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Recommended) Reason for the sample collection.,N/A,N/A,(Recommended) Reason for the sample collection.,N/A,TEXT_CHOICE_FIELD,active surveillance in response to outbreak; market sample,N/A
sample_storage_conditions,Sample Storage Conditions,"Conditions at which sample was stored, usually storage temperature, duration and location. in soil context: explain how and for how long the soil sample was stored before dna extraction (fresh/frozen/other).",integer,N/A,N/A,N/A,N/A,N/A,sample storage conditions,sample storage conditions,N/A,N/A,N/A,N/A,"['ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,not sure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Optional) Conditions at which sample was stored, usually storage temperature, duration and location. in soil context: explain how and for how long the soil sample was stored before dna extraction (fresh/frozen/other).",N/A,N/A,"(Optional) Conditions at which sample was stored, usually storage temperature, duration and location",N/A,TEXT_FIELD,N/A,N/A
sample_description,Sample Description,"Free-form text describing the sample, its origin, and its method of isolation.",text,N/A,N/A,N/A,N/A,N/A,sample_description,sample_description,N/A,N/A,N/A,N/A,"['ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Optional) Free-form text describing the sample, its origin, and its method of isolation.",N/A,N/A,"(Optional) Free-form text describing the sample, its origin, and its method of isolation.",N/A,TEXT_AREA_FIELD,N/A,N/A
source_of_vaccination_information,Source of Vaccination Information,Designation of information related to vaccination history as self reported or documented.,keyword,N/A,N/A,N/A,N/A,N/A,source of vaccination information,N/A,N/A,N/A,N/A,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Designation of information related to vaccination history as self reported or documented.,N/A,N/A,N/A,N/A,N/A,decoumented; self reported,N/A
study_description,Study Description,"Briefly describes the goals, purpose, and scope of the study.  this need not be listed if it can be inherited from a referenced publication.",text,N/A,N/A,N/A,N/A,N/A,study_abstract,study_abstract,N/A,N/A,N/A,N/A,"['ENA ERC32', 'ENA ERC33', 'Organizational', 'ENA Study', 'VJDB Study', 'Study']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Optional) Briefly describes the goals, purpose, and scope of the study. this need not be listed if it can be inherited from a referenced publication.",N/A,N/A,"(Optional) Briefly describes the goals, purpose, and scope of the study. this need not be listed if it can be inherited from a referenced publication.",N/A,TEXT_AREA_FIELD,N/A,N/A
subject_exposure,Subject Exposure,"Exposure of the subject to infected human or animals, such as poultry, wild bird or swine. If multiple exposures are applicable, these are separated by semicolon. Example: poultry;wild bird",text,N/A,N/A,N/A,N/A,N/A,subject exposure,subject exposure,N/A,N/A,N/A,N/A,"['ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Optional) Exposure of the subject to infected human or animals, such as poultry, wild bird or swine. if multiple exposures are applicable, please state them separated by semicolon. example: poultry; wild bird",N/A,N/A,"(Optional) Exposure of the subject to infected human or animals, such as poultry, wild bird or swine. if multiple exposures are applicable, please state them separated by semicolon. example: poultry; wild bird",N/A,TEXT_FIELD,poultry; wild  bird,N/A
subject_exposure_duration,Subject Exposure Duration,"Duration of the exposure of the subject to an infected human or animal. If multiple exposures are applicable, their duration is stated in the same order in which the exposure in the field was reported: 'subject exposure'. Example: 1 day; 0.33 days (Units: year)",integer,N/A,N/A,N/A,N/A,N/A,subject exposure duration,subject exposure duration,N/A,N/A,N/A,N/A,"['ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Optional) Duration of the exposure of the subject to an infected human or animal. if multiple exposures are applicable, please state their duration in the same order in which you reported the exposure in the field 'subject exposure'. example: 1 day; 0.33 days (Units: year)",N/A,N/A,"(Optional) Duration of the exposure of the subject to an infected human or animal. if multiple exposures are applicable, please state their duration in the same order in which you reported the exposure in the field 'subject exposure'. example: 1 day; 0.33 days",N/A,TEXT_FIELD,1 day; 0.33 days ,N/A
study_title,Study Title,"Clear and useful title of the study/project, e.g. a title usable for a publication or the purpose of the project and its timeframe.",text,N/A,N/A,N/A,N/A,N/A,title,title,N/A,N/A,N/A,N/A,"['ENA ERC32', 'ENA ERC33', 'Organizational', 'ENA Study', 'VJDB Study', 'Study']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Mandatory) Title of the study as would be used in a publication.,N/A,N/A,(Mandatory) Title of the study as would be used in a publication.,N/A,TEXT_FIELD,N/A,N/A
experiment_title,Experiment Title,Clear and useful title to identify the sequencing experiment. This title will not be submitted to the ENA on submission.,text,N/A,N/A,N/A,N/A,N/A,title,title,N/A,N/A,N/A,N/A,"['ENA ERC32', 'ENA ERC33', 'Organizational', 'ENA Experiment', 'VJDB Experiment', 'Study']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Mandatory) Short text that can be used to call out experiment records in searches or in displays. this element is technically optional but should be used for all new records.,N/A,N/A,(Optional) Short text that can be used to call out experiment records in searches or in displays. this element is technically optional but should be used for all new records.,N/A,TEXT_FIELD,N/A,N/A
sample_title,Sample Title,Clear and useful title to identify the sample the sequence originates from was collected/sampled. This title will not be submitted to the ENA on submission.,text,N/A,N/A,N/A,N/A,N/A,title,title,N/A,N/A,N/A,N/A,"['ENA ERC32', 'ENA ERC33', 'Organizational', 'ENA Sample', 'VJDB Sample', 'Study']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Mandatory) Short text that can be used to call out sample records in search results or in displays.,N/A,N/A,(Mandatory) Short text that can be used to call out sample records in search results or in displays.,N/A,TEXT_FIELD,N/A,N/A
type_exposure,Type Exposure,"Setting within which the subject is exposed to animals, such as farm, slaughterhouse, food preparation. if multiple exposures are applicable, please state their type in the same order in which you reported the exposure in the field 'subject exposure'. example: backyard flock; confined animal feeding operation",text,N/A,N/A,N/A,N/A,N/A,type exposure,type exposure,N/A,N/A,N/A,N/A,"['ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Optional) Setting within which the subject is exposed to animals, such as farm, slaughterhouse, food preparation. if multiple exposures are applicable, please state their type in the same order in which you reported the exposure in the field 'subject exposure'. example: backyard flock; confined animal feeding operation",N/A,N/A,"(Optional) Setting within which the subject is exposed to animals, such as farm, slaughterhouse, food preparation. if multiple exposures are applicable, please state their type in the same order in which you reported the exposure in the field 'subject exposure'. example: backyard flock; confined animal feeding operation",N/A,TEXT_FIELD,backyard flock; confined animal feeding operation,N/A
vaccine_dosage,Vaccine Dosage,Dosage of the vaccine taken by the host. example: 0.05 ml,float,N/A,N/A,N/A,N/A,N/A,vaccine dosage,N/A,N/A,N/A,N/A,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Dosage of the vaccine taken by the subject. example: 0.05 ml,N/A,N/A,N/A,N/A,N/A,0.05 ml,N/A
vaccine_lot_number,Vaccine Lot Number,Lot number of the vaccine.,keyword,N/A,N/A,N/A,N/A,N/A,vaccine lot number,N/A,N/A,N/A,N/A,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,not sure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Lot number of the vaccine.,N/A,N/A,N/A,N/A,N/A,N/A,N/A
vaccine_manufacturer,Vaccine Manufacturer,Manufacturer of the vaccine.,text,N/A,N/A,N/A,N/A,N/A,vaccine manufacturer,N/A,N/A,N/A,N/A,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,not sure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Manufacturer of the vaccine.,N/A,N/A,N/A,N/A,N/A,N/A,N/A
who_oie_fao_clade_required_for_hpai_h5n1_viruses,WHO/OIE/FAO Clade (Required for HPAI H5N1 Viruses),WHO/OIE/FAO clade should be included for highly pathogenic h5n1 viruses. example: 2.2,text,N/A,N/A,N/A,N/A,N/A,WHO/OIE/FAO clade (required for HPAI H5N1 viruses),N/A,N/A,N/A,N/A,N/A,"['ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Who/oie/fao clade should be included for highly pathogenic h5n1 viruses. example: 2.2,N/A,N/A,N/A,N/A,N/A,2.2,N/A
virus_old_names,Virus Old Names,Collection of outdated names for a particular virus.,text,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Sample', 'Clinical ']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sequence_byte_range,Sequence Byte Range,Byte range data of the sample in the sequence file without the header,keyword,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Internal', 'Workflows']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sequence_path,Sequence Path,The file location of the multiseq fasta file including the parent folder name ,keyword,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Internal', 'Workflows']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
insertion_date,Insertion Date,Date of the insertion into the VirJen database,date,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Internal', 'Workflows']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
update_date,Update Date,The last date the metadata was updated in the VirJen database.,date,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Internal', 'Workflows']",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ictv_subrealm,ICTV Subrealm,A 'Subrealm' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the ICTV.,text,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ictv_subrealm,N/A,N/A,"['PHD', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']",ICTV,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Subrealm
ictv_subkingdom,ICTV Subkingdom,A 'Subkingdom' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the ICTV.,text,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ictv_subkingdom,N/A,N/A,"['PHD', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']",ICTV,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Subkingdom
ictv_subclass,ICTV Subclass,A 'Subclass' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the ICTV.,text,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ictv_subclass,N/A,N/A,"['PHD', 'Taxonomy', 'Virus Taxonomy', 'ICTV Taxonomy']",ICTV,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Subclass
ncbi_subrealm,NCBI Subrealm,A 'Subrealm' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the NCBI.,text,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ncbi_subrealm,N/A,N/A,"['PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ncbi_subkingdom,NCBI Subkingdom,A 'Subkingdom' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the NCBI.,text,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ncbi_subkingdom,N/A,N/A,"['PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ncbi_subclass,NCBI Subclass,A 'Subclass' is a rank in the taxonomic hierarchy into which virus species can be classified. Defined by the NCBI.,text,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ncbi_subclass,N/A,N/A,"['PHD', 'Taxonomy', 'Virus Taxonomy', 'NCBI Taxonomy']",N/A,no example needed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
host_age_normalized,Host Age Normalized,"Host Ages in a uniform unit, TBD",integer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Host', 'Clinical ']",VJDB,"Use for sorting by host age, and relevant for plotting; not sure",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
lab_passaged,Lab Passaged,"Indicator that sequences came from samples from a laboratory setting, and not from a wild host.",integer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"['Sample', 'Virus Info']",NCBI Virus,not sure,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
