vjdbv0.3_field_id,vjdbv0.3_name,vjdbv0.3_description,vjdbv0.3_fields_type,vjdbv0.3_privacy,vjdbv0.2__field_id,vjdbv0.1_field_id,ena_field_id,rki_field_id,migs-vi_field_id,migs-uvig_field_id,env-o_field_id,ncbi_virus_n_nucleotide_field_id,bv-brc_b_field_name,ena_erc32_field_name,ena_erc33_field_name,img/vr_field_name,phd_field_name,phispy_field_name,gtdb_field_name,ena_submission_object_object_name,vjbd_submission_object_object_name,vjdbv0.3_group1,vjdbv0.3_group2,vjdbv0.3_group3,vjdbv0.3_tags,vjdbv0.3_input_source,vjdbv0.3_notes,vjdbv0.3_changes,vjdbv0.2_previous_changes,ncbi_virus_n_field_name,ncbi_virus_n_field_description,ncbi_virus_n_type,ncbi_virus_n_curation_notes,bv-brc_b_category,bv-brc_b_schema_category,bv-brc_b_field_id,bv-brc_b_field_type,bv-brc_b_type,bv-brc_b_curation_notes,ena_erc32_field_description,ena_erc32_controlled_vocabulary,ena_erc32_field_type,ena_erc33_field_description,ena_erc33_controlled_vocabulary,ena_erc33_field_type,ena_submission_requiredness,vjdb_submission_requiredness,vjdb_example,vjdb_validation_rules,ena_submission_fieldtype,ena_submission_validation,vjdbv0.3_field_index,ictv40_i_field_name,vjdbv0.3_index,vjdbv0.3_search_method,vjdbv0.3_default_search
collection_host_health_state,Host Health State,"Health state of the host at the time of sample collection, e.g. diseased or healthy",keyword,internal,collection_host_health_state,N/A,host health state,N/A,N/A,N/A,N/A,N/A,N/A,host health state,host health state,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Host,Collection,N/A,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Collection']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Mandatory) Health status of the host at the time of sample collection.,N/A,N/A,(Mandatory) Health status of the host at the time of sample collection.,N/A,TEXT_CHOICE_FIELD,mandatory,mandatory,diseased; healthy,"Defined list of values, provided by the ENA",combo,controlled_vocabulary,0bf,N/A,metadata,exact fuzzy,N/A
collection_location_latitude,Latitude,"The geographic location by latitude, where the sample the sequence originates from was collected/sampled. (DD)",geo_point,internal,collection_location_latitude,N/A,geographic location (latitude),N/A,lat_lon,N/A,N/A,N/A,N/A,geographic location (latitude),geographic location (latitude),N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Collection,N/A,"['ENA', 'MIGS-VI', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Collection']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Recommended) The geographical origin of the sample as defined by latitude. the values should be reported in decimal degrees and in wgs84 system (Units: DD),N/A,N/A,"(Recommended) The geographical origin of the sample as defined by latitude. the values should be reported in decimal degrees and in wgs84 system Units: 
",N/A,TEXT_FIELD,recommended,recommended,-18.54; 68.277,Coordinates in DD format. Decimal number between  -90 and 90. 90 and -90 work without decimals.,text,unique,0bg,N/A,metadata,exact,N/A
collection_location_longitude,Longitude,"The geographic location by longitude, where the sample the sequence originates from was collected/sampled. (DD)",geo_point,internal,collection_location_longitude,N/A,geographic location (longitude),N/A,lat_lon,N/A,N/A,N/A,N/A,geographic location (longitude),geographic location (longitude),N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Collection,N/A,"['ENA', 'MIGS-VI', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Collection']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Recommended) The geographical origin of the sample as defined by longitude. the values should be reported in decimal degrees and in wgs84 system (Units: DD),N/A,N/A,"(Recommended) The geographical origin of the sample as defined by longitude. the values should be reported in decimal degrees and in wgs84 system Units: 
",N/A,TEXT_FIELD,recommended,recommended,-102.35; 22.6,Coordinates in DD format. Decimal number between  -180 and 180. 180 and -180 work without decimals.,text,unique,0bh,N/A,metadata,exact,N/A
collection_region,Collection Region,Continent where the sample the sequence originates from was collected/sampled.,keyword,internal,collection_region,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sample,Collection,N/A,"['Sample', 'Collection']",no source,"Region unclear -> Check again where it came from, recheck naming and vocabulary, INSDC country list contains the oceans; Name suggestions macroregion or georegion; no direct source but constructable (group countries into clusters); ",remove,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Asia,Defined list fo regions(!),text,freetext,0bi,N/A,metadata,full fuzzy,N/A
collection_source_environment,Collection Source Environment,"Describes the physical, environmental or local geographical source of the sample, e.g. soil",keyword,internal,collection_source_environment,host_tissue,isolation source non-host-associated,N/A,env_medium? more or less,N/A,N/A,N/A,N/A,isolation source non-host-associated,isolation source non-host-associated,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Collection,N/A,"['ENA', 'MIGS-VI', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Collection']",N/A,"as it is, for revision with data; not sure",collection_source_non-host_associated,N/A,N/A,N/A,N/A,split Tissue_Specimen_Source to collection_source_environment and collection_source_host_tissue,N/A,N/A,N/A,N/A,N/A,N/A,"(Recommended) Describes the physical, environmental and/or local geographical source of the biological sample from which the sample was derived. example: soil",N/A,N/A,"(Recommended) Describes the physical, environmental and/or local geographical source of the biological sample from which the sample was derived. example: soil",N/A,TEXT_FIELD,recommended,recommended,N/A,N/A,suggestion,freetext,0bj,N/A,metadata,full fuzzy,N/A
collector_name,Collector Name,Name of the person that collected the sample,keyword,internal,collector_name,N/A,collector name,N/A,N/A,N/A,N/A,N/A,N/A,collector name,collector name,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Collection,N/A,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Collection']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Mandatory) Name of the person who collected the specimen. example: john smith,N/A,N/A,(Mandatory) Name of the person who collected the specimen. example: john smith,N/A,TEXT_AREA_FIELD,mandatory,mandatory,"Zuckerman,N.",Free text,text,freetext,0bk,N/A,metadata,full fuzzy,N/A
cutoff_for_seropositive_sample,Cutoff for Seropositive Sample,The cuttoff used to determine if the sample is seropositive.,float,internal,cutoff_for_seropositive_sample,N/A,definition for seropositive sample,N/A,N/A,N/A,N/A,N/A,N/A,definition for seropositive sample,definition for seropositive sample,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical,N/A,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical']",N/A,not sure,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Recommended) The cut off value used by an investigatior in determining that a sample was seropositive.,N/A,N/A,(Recommended) The cut off value used by an investigatior in determining that a sample was seropositive.,N/A,TEXT_FIELD,recommended,recommended,N/A,N/A,text,freetext,0bl,N/A,metadata,exact,N/A
experiment_accession_id,Experiment Accession,References an ENA assembly to an ENA Experiment.,keyword,internal,experiment_accession_id,N/A,experiment accession?,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Organizational,Identifiers,N/A,"['ENA', 'Organizational', 'Identifiers']",N/A,no example needed,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,text,unique,0bm,N/A,metadata,exact,N/A
host_behaviour,Host Behaviour,Natural behaviour of the sampled host.,keyword,internal,host_behaviour,N/A,host behaviour,N/A,N/A,N/A,N/A,N/A,N/A,host behaviour,host behaviour,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Host,Clinical,N/A,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Recommended) Natural behaviour of the host.,N/A,N/A,(Recommended) Natural behaviour of the host.,N/A,TEXT_CHOICE_FIELD,recommended,recommended,domestic; wild,"Defined list of values, provided by the ENA",combo,controlled_vocabulary,0bn,N/A,metadata,exact fuzzy,N/A
host_disease,Host Disease,The hosts main disease diagnosis.,keyword,internal,host_disease,disease,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Host,Clinical,N/A,"['Host', 'Clinical']",N/A,not sure,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,text,freetext,0bo,N/A,metadata,exact fuzzy,N/A
host_disease_outcome,Host Disease Outcome,The hosts disease outcome. Did the host recover from the disease?,keyword,internal,host_disease_outcome,N/A,host disease outcome,N/A,N/A,N/A,N/A,N/A,N/A,host disease outcome,host disease outcome,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Host,Clinical,N/A,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Recommended) Disease outcome in the host.,N/A,N/A,(Recommended) Disease outcome in the host.,N/A,TEXT_CHOICE_FIELD,recommended,recommended,recovered; dead,"Defined list of values, provided by the ENA",combo,controlled_vocabulary,0bp,N/A,metadata,exact fuzzy,N/A
host_disease_symptoms,Host Disease Symptoms,"The symptoms that have been reported in relation to the illness, such as cough, diarrhea, fever, headache, malaise, myalgia, nausea, runny_nose, shortness_of_breath, sore_throat. If multiple exposures are applicable, please state them separated by semicolon.",keyword,internal,host_disease_symptoms,N/A,illness symptoms,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Host,Clinical,N/A,"['ENA', 'Host', 'Clinical']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,optional,optional,fever; headache; runny_nose,Free text,suggestion,unique,0bq,N/A,metadata,exact fuzzy,N/A
host_group,BV-BRC Host Group,The host's broader group association in a taxonomic context from BV-BRC.,keyword,public,host_group,host_group,N/A,N/A,N/A,N/A,N/A,N/A,Host Group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Host,Host Info,N/A,"['BV-BRC', 'Host', 'Host Info']",BVBRC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Host Info,N/A,host_group,string_ci,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,vertebrates; plants,"Defined list of values, provided by the BVBRC(!)",suggestion,freetext,0br,N/A,metadata,full fuzzy,N/A
host_habitat,Host Habitat,Natural habitat of the avian or mammalian host,keyword,internal,host_habitat,N/A,host habitat,N/A,N/A,N/A,N/A,N/A,N/A,host habitat,host habitat,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Host,Collection,N/A,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Collection']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Recommended) Natural habitat of the avian or mammalian host.,N/A,N/A,(Recommended) Natural habitat of the avian or mammalian host.,N/A,TEXT_CHOICE_FIELD,recommended,recommended,domestic:free-range farm; wild:resident,"Defined list of values, provided by the ENA",combo,controlled_vocabulary,0bs,N/A,metadata,exact fuzzy,N/A
host_lab_common_name,Lab Host Common Name,"BVBRC Lab Host, common name of the lab host.",keyword,private,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Lab Host,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Host,Host Info,N/A,"['BV-BRC', 'Host', 'Host Info']",BVBRC,"remove? Lab Passage 1 to 1 in public and rest in private for submission, because Lab Passaged is buil on ""/labhost"", to catch this we provide these fields; not sure",host_lab_common_name,N/A,N/A,N/A,N/A,N/A,Host Info,N/A,lab_host,string_ci,N/A,new,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,suggestion,freetext,0bt,N/A,metadata,full fuzzy,N/A
host_lab_ncbi_tax_id,Lab Host NCBI Tax ID,The lab hosts NCBI Taxonomy ID.,keyword,private,host_lab_NCBI_tax_id,N/A,N/A,N/A,specific_host,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Host,Identifiers,N/A,"['MIGS-VI', 'Host', 'Identifiers']",N/A,remove?; not sure,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,text,unique,0bu,N/A,metadata,exact,N/A
host_lab_scientific_name,Lab Host Species,The lab hosts scientific species name.,keyword,private,host_lab_scientific_name,N/A,lab_host,N/A,specific_host,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Host,Host Info,N/A,"['ENA', 'MIGS-VI', 'Host', 'Host Info']",N/A,remove?; not sure,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,optional,optional,N/A,N/A,suggestion,unique,0bv,N/A,metadata,exact fuzzy,N/A
host_natural_scientific_name,Host Species,The sampled host's scientific species name.,keyword,public,host_natural_scientific_name,host_name?,host scientific name,N/A,specific_host,N/A,N/A,N/A,Host Name,host scientific name,host scientific name,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Host,Host Info,N/A,"['ENA', 'MIGS-VI', 'BV-BRC', 'ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Host Info']",BVBRC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Host Info,N/A,host_name,string_ci,N/A,they are not all scientific names,(Mandatory) Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.,N/A,N/A,(Mandatory) Scientific name of the natural (as opposed to laboratory) host to the organism from which sample was obtained.,N/A,TEXT_FIELD,mandatory,mandatory,homo sapiens,Defined by the NCBI Taxonomy(!),suggestion,unique,0bw,N/A,metadata,exact fuzzy,default search
host_ncbi_tax_id,Host NCBI Tax ID,The host sequence NCBI Taxonomy ID. Can be based on the mapping by GTDB of the GTDB Species Name to the NCBI Taxonomy ID.,keyword,public,host_NCBI_tax_id,host_NCBI_tax_id,N/A,N/A,specific_host,N/A,N/A,N/A,N/A,N/A,lab_host,host_ncbi_tax_id,host_ncbi_tax_id,host_ncbi_tax_id,N/A,ENA Sample,VJDB Sample,Host,Host Taxonomy,NCBI Taxonomy,"['MIGS-VI', 'ENA ERC33', 'IMG/VR', 'PHD', 'PhiSpy', 'Host', 'ENA Sample', 'VJDB Sample', 'Host Taxonomy', 'NCBI Taxonomy']",GTDB,N/A,keep internally,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Optional) Scientific name of the laboratory host used to propagate the source organism from which the sample was obtained,N/A,TEXT_FIELD,N/A,N/A,9606,Whole number value. Defined by the NCBI Taxonomy,text,unique,0bx,N/A,metadata,exact,default search
host_sex,Host Sex,The sampled hosts sex from the BV-BRC.,keyword,public,host_sex,host_gender,host sex,N/A,N/A,N/A,N/A,N/A,Host Gender,host sex,host sex,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Host,Clinical,N/A,"['ENA', 'BV-BRC', 'ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical']",BVBRC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Host Info,N/A,host_gender,string_ci,N/A,N/A,(Mandatory) Gender or sex of the host.,N/A,N/A,(Mandatory) Gender or sex of the host.,N/A,TEXT_CHOICE_FIELD,mandatory,mandatory,female; hermaphrodite,"Defined list of values, provided by the ENA",combo,controlled_vocabulary,0by,N/A,metadata,exact,N/A
host_subject_id,Host Subject ID,The sampled hosts unique ID by which it can be referred to.,keyword,internal,host_subject_id,N/A,host subject id,N/A,N/A,N/A,N/A,N/A,N/A,host subject id,host subject id,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Host,Clinical ,N/A,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Host', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,not sure,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Mandatory) A unique identifier by which each subject can be referred to, de-identified, e.g. #131",N/A,N/A,"(Mandatory) A unique identifier by which each subject can be referred to, de-identified, e.g. #131",N/A,TEXT_FIELD,mandatory,mandatory,N/A,N/A,suggestion,freetext,0bz,N/A,metadata,exact,N/A
influenza_test_method,Influenza Test Method,Method used to assess if a sample if flu positive/negative. When multiple once were used they are seperated by semicolon.,keyword,internal,influenza_test_method,N/A,influenza test method,N/A,N/A,N/A,N/A,N/A,N/A,influenza test method,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA', 'ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Mandatory) Method by which the current assessment of a sample as flu positive/negative is made. if multiple test were performed, please state them separated by semicolon. example: rt-pcr; antigen elisa",N/A,N/A,N/A,N/A,N/A,mandatory,mandatory,"""RT-PCR; antigen ELISA""","Free text (Methods) seperated by semicolon, no quotes",suggestion,unique,0ca,N/A,metadata,full fuzzy,N/A
influenza_test_result,Influenza Test Result,"Result of the given methods. Positive(P) or Negative(N). For multiple test the results are delimited by semicolon, e.g. P; P.",keyword,internal,influenza_test_result,N/A,influenza test result,N/A,N/A,N/A,N/A,N/A,N/A,influenza test result,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA', 'ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Mandatory) Classification of a sample as flu positive or negative based on the test performed and reported. if multiple tests were performed, please state the results in the same order in which you reported the tests in the field 'influenza test method'. format: p(ositive)/n(egative). example: p; p",N/A,N/A,N/A,N/A,N/A,mandatory,mandatory,"""P;P""; ""N""; ""N;P""","P(positive)/N(negative) divided by semicolons matching the number and place of the corresponding test method, no quotes.",suggestion,unique,0cb,N/A,metadata,exact,N/A
influenza_virus_type,Influenza Virus Type,"Influenza virus type classification, A, B or C.",keyword,internal,influenza_virus_type,variant,influenza virus type,N/A,N/A,N/A,N/A,N/A,N/A,influenza virus type,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA', 'ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,(Recommended) One of the three influenza virus classification types.,N/A,N/A,N/A,N/A,N/A,recommended,recommended,A; B; C,"Defined list of values, provided by the ENA",combo,controlled_vocabulary,0cc,N/A,metadata,exact fuzzy,N/A
is_bvbrc,BV-BRC Sequence,Determines if this sequence is available in BV-BRC.,boolean,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Source,Flags,N/A,"['Source', 'Flags']",VJDB,N/A,add is_bvbrc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,true,boolean value(!),N/A,N/A,0cd,N/A,metadata,exact,N/A
other_pathogens_test_result,Other Pathogens Test Result,The test result for other tested pathogens given as described by influenza test result.,keyword,internal,other_pathogens_test_result,N/A,other pathogens test result,N/A,N/A,N/A,N/A,N/A,N/A,other pathogens test result,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA', 'ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Mandatory) Classification of a sample as positive or negative based on the test performed and reported. if tests for multiple pathogenic organisms were performed, please state the results in the same order in which you reported the tests in the field 'other pathogens tested'. format: p(ositive)/n(egative)/not applicable. example: n",N/A,N/A,N/A,N/A,N/A,mandatory,mandatory,Newcastle; none,"Free text (Methods) seperated by semicolon, no quotes. See also Influenza Test Method",suggestion,unique,0ce,N/A,metadata,full fuzzy,N/A
other_pathogens_tested,Other Pathogens Tested,"Was the sample tested for other pathogens? Insert the pathogenic organisms using semicolon as a delimiter, e.g. Newcastle. “None” is also valid.",keyword,internal,other_pathogens_tested,N/A,other pathogens tested,N/A,N/A,N/A,N/A,N/A,N/A,other pathogens tested,N/A,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA', 'ENA ERC32', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Mandatory) Classification of pathogenic organisms other than influenza virus tested in the current assessment of a sample. if multiple tests were performed, please state them separated by semicolon. if no other pathogens test was performed, please state 'none'. example: newcastle",N/A,N/A,N/A,N/A,N/A,mandatory,mandatory,"""P;P""; N; ""N;not applicable""","P(positive)/N(negative)/not applicable divided by semicolons matching the number and place of the corresponding test method, no quotes.",suggestion,unique,0cf,N/A,metadata,exact,N/A
pangolin_lineage,Pangolin Lineage,Lineage determined by Pangolin.,keyword,public,pangolin_lineage,N/A,N/A,PANGOLIN. LINEAGE_LATEST,N/A,N/A,N/A,N/A,Lineage,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Analysis,Sequence,N/A,"['RKI', 'BV-BRC', 'Analysis', 'Sequence']",NCBI Virus|BVBRC,"depends on how to treat RKI data, they have pangolin leange in json format that includes version and also method information, we could either include that (bad readabiliy, or splt the relevant information for these fields)",N/A,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,Type Info,N/A,lineage,string,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,suggestion,freetext,0cg,N/A,metadata,full,N/A
pangolin_version,Pangolin Version,Pangolin version used to determine the lineage.,float,internal,pangolin_version,N/A,N/A,PANGOLIN. PANGOLIN_VERSION _LATEST,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Analysis,N/A,Workflows,"['RKI', 'Analysis', 'Workflows']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,suggestion,freetext,0ch,N/A,metadata,exact,N/A
receipt_date,Receipt Date,If the sample was only received and not collected provide the receipt date.,date,internal,receipt_date,N/A,receipt date,N/A,N/A,N/A,N/A,N/A,N/A,receipt date,receipt date,N/A,N/A,N/A,N/A,ENA Sample,VJDB Sample,Sample,Clinical ,N/A,"['ENA', 'ENA ERC32', 'ENA ERC33', 'Sample', 'ENA Sample', 'VJDB Sample', 'Clinical ']",N/A,N/A,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"(Recommended) Date on which the sample was received. format:yyyy-mm-dd. please provide the highest precision possible. if the sample was received by the institution and not collected, the 'receipt date' must be provided instead. either the 'collection date' or 'receipt date' must be provided. if available, provide both dates.",N/A,N/A,"(Recommended) Date on which the sample was received. format:yyyy-mm-dd. please provide the highest precision possible. if the sample was received by the institution and not collected, the 'receipt date' must be provided instead. either the 'collection date' or 'receipt date' must be provided. if available, provide both dates.",N/A,TEXT_FIELD,recommended,recommended,2023-05-20,"YYYY-MM-DD; Some browsers can display dates in a different format, but it is still correct(!)",date,freetext,0ci,N/A,metadata,range,N/A
rki_sequence_id,RKI Accession,RKI Accession of the virus sequence.,keyword,internal,rki_sequence_id,N/A,N/A,SEQUENCE.ID,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Organizational,Identifiers,N/A,"['RKI', 'Organizational', 'Identifiers']",N/A,no example needed,remove,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,text,freetext,0cj,N/A,metadata,exact,N/A
run_accession_id,Run Accession,References a ENA assembly to an ENA Run object.,keyword,internal,run_accession_id,N/A,run ref,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Organizational,Identifiers,N/A,"['ENA', 'Organizational', 'Identifiers']",N/A,no example needed,keep internally,"Not in VJDB, Completly new due to byCovid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,recommended,recommended,N/A,N/A,text,unique,0ck,N/A,metadata,exact,N/A
sample_ncbi_tax_id,NCBI SpeciesTax ID,The virus species NCBI Taxonomy ID.,keyword,public,sample_NCBI_tax_id,NCBI_txid,tax_id,N/A,samp_taxon_id,N/A,N/A,N/A,NCBI Taxon ID,taxon_id,taxon_id,sample_ncbi_tax_id,sample_ncbi_tax_id,sample_ncbi_tax_id,ncbi_tax_id,ENA Sample,VJDB Sample,Taxonomy,Identifiers,NCBI Taxonomy,"['ENA', 'MIGS-VI', 'BV-BRC', 'ENA ERC32', 'ENA ERC33', 'IMG/VR', 'PHD', 'PhiSpy', 'GTDB', 'Taxonomy', 'ENA Sample', 'VJDB Sample', 'Identifiers', 'NCBI Taxonomy']",BVBRC,Taxonomy Descision; ,N/A,N/A,N/A,N/A,N/A,N/A,Taxonomy Info,Taxonomy,taxon_id,int,N/A,N/A,(Mandatory) Ncbi taxonomy identifier. this is appropriate for individual organisms and some environmental samples.,N/A,N/A,(Mandatory) Ncbi taxonomy identifier. this is appropriate for individual organisms and some environmental samples.,N/A,TEXT_FIELD,mandatory,mandatory,197911,Whole number value. Defined by the NCBI Taxonomy,suggestion,unique,0cl,N/A,metadata,exact,default search
